source	source_version	role	status	provenance	selected_type	repository_full_name	commit_sha	tree_sha	dsc_sha256
libnma	1.8.30-1+grm3u2	rebuild-arm64	resolved	github-exact-commit	git	gooroom/libnma	7ea056fd93525e344559ebc2e38b90ce5937ecc8	2ada6a3ee3ba66b0768ef666baba32e4998a6eff	
lightdm	1.26.0-7+grm3u1	rebuild-arm64	resolved	verified-native-arm64-build-exact-git	git	gooroom/lightdm	6824813cf5d82b8c5cc47009e2e7be45717af6f8	aef7445a73e7240dc68bf83edf506ad5f1bd0ce3	
linux	5.10.179-1+grm3u1	rebuild-arm64	unresolved-exact-source						
linux-signed-amd64	5.10.179+1+grm3u1	rebuild-arm64	arch-replace	architecture-replacement	arch-replace				
live-config	11.0.3+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/live-config	7542b09395dc84e6a5f12c28ebe621f37b3df85b	00cfca2dedf4b6f7808dcc5bc63725c91c4a9938	
live-installer	2023.06.30+han3u1	reuse-all	unresolved-exact-source						
metacity	1:3.38.0-2+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/metacity	a16c481927cd6694eb2ec2afaedf07a9ee411b5c	7c52cb654d792f4f32fe450c9206b4bd1b5acbc8	
mousetweaks	3.32.0-3+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/mousetweaks	06ed39e08e6e2427a515bdab114d02a35fc010f8	3ef99087b50a0e5f759bcb7ce3df144680bc60fa	
nautilus	3.38.2-1+deb11u1+grm3u8	rebuild-arm64	resolved	github-exact-commit	git	gooroom/nautilus	8d7900ad94c2dbfe167e0dd9a00ee37f203f0511	d3b2a8e8599902b40da81867f85c2ac81fe4d984	
network-manager	1.30.0-2+grm3u3	rebuild-arm64	resolved	github-exact-commit	git	gooroom/network-manager	712e0531988c471901936d0c8c415a1a8cec96fe	fafc1de993a88e4bc27f53912199b8b65acb86b9	
network-manager-applet	1.20.0-3+grm3u4	rebuild-arm64	resolved	github-exact-commit	git	gooroom/network-manager-applet	fb22dadeb9eeb78b4d256a2a78d619aa5687cbea	5b8aeb62c1e855d611025b10e4fd7e0eb351c9ad	
nimf	2023.06.30+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/nimf	583ad8b183db06a84c6b85a80fe132583566909d	a2e3017b4c00e92a1cab8fe803e2e88f07d5d74d	
p7zip	16.02+dfsg-8+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/p7zip	950abb3e7274d493c8035a23ec2bb0adcde9cb55	e392d61e4303302107f9468a06ef0bcb49fe4f33	
pam-gooroom	0.4.3+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/libpam-gooroom-authenticator	8307ea469ed55c2c05ea8936c967a6e584cd57c7	a88f82cfd34681e64217bd973eae44f80e5d120d	
policykit-1	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	resolved	verified-native-arm64-build-exact-git	git	gooroom/policykit-1	0563a8a6e1276df34e70c52029b0d8e3a2314520	c636768dd74927fb948b0c4527966a110de5516b	
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	rebuild-arm64	unresolved-exact-source						
synaptic	0.90.2+grm3u3	rebuild-arm64	resolved	github-exact-commit	git	gooroom/synaptic	0aadbfb8a87e3be73dc0b20c1edb74774c46e9a8	569d9d83a12748ff484c34432a0562c6951b39ae	
system-config-printer	1.5.14-1+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/system-config-printer	451f170fa30eed547da91b8716cfac0b0998ba83	46ec00e143769ca20b0d6fc52859824285122883	
yelp	3.38.3-1+han3u3	rebuild-arm64	resolved	github-exact-commit	git	hancom-io/yelp	73af67d27815adcd09e4c319f692754a4b008a85	404913af82e2c63363d1a864b5226812fd1c77b6	
