reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libjbig0	2.1-3.1+b2	amd64	jbigkit	2.1-3.1	libjbig0	arm64	native-arm64	exact-binary-and-source-version	2.1-3.1+b2	b71b3e62e162f64cb24466bf7c6e40b05ce2a67ca7fed26d267d498f2896d549	b71b3e62e162f64cb24466bf7c6e40b05ce2a67ca7fed26d267d498f2896d549-libjbig0_2.1-3.1+b2_arm64.deb
libjbig2dec0	0.19-2	amd64	jbig2dec	0.19-2	libjbig2dec0	arm64	native-arm64	exact-binary-and-source-version	0.19-2	28bc3fa29e47c395ca1b4b204fa0ae29a8f15f3981a32a7da6dc7a3a99683e56	28bc3fa29e47c395ca1b4b204fa0ae29a8f15f3981a32a7da6dc7a3a99683e56-libjbig2dec0_0.19-2_arm64.deb
libjpeg62-turbo	1:2.0.6-4	amd64	libjpeg-turbo	1:2.0.6-4	libjpeg62-turbo	arm64	native-arm64	exact-binary-and-source-version	1:2.0.6-4	8903394de23dc6ead5abfc80972c8fd44300c9903ad4589d0df926e71977d881	8903394de23dc6ead5abfc80972c8fd44300c9903ad4589d0df926e71977d881-libjpeg62-turbo_1%3a2.0.6-4_arm64.deb
libjson-c5	0.15-2	amd64	json-c	0.15-2	libjson-c5	arm64	native-arm64	exact-binary-and-source-version	0.15-2	451820024e4d1023cc74758bc22beccf1aa235227026b3e24bafa67bf81d215e	451820024e4d1023cc74758bc22beccf1aa235227026b3e24bafa67bf81d215e-libjson-c5_0.15-2_arm64.deb
libjson-glib-1.0-0	1.6.2-1	amd64	json-glib	1.6.2-1	libjson-glib-1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.6.2-1	a2167dd43e00154f2418f19e819cd90db1559f78cd8d783cfac1063bba7509e8	a2167dd43e00154f2418f19e819cd90db1559f78cd8d783cfac1063bba7509e8-libjson-glib-1.0-0_1.6.2-1_arm64.deb
libjson-glib-1.0-common	1.6.2-1	all	json-glib	1.6.2-1	libjson-glib-1.0-common	all	reuse-all	exact-binary-and-source-version	1.6.2-1	a938ec35a20dca2e5878a8750fb44683b67a5f7c2d23d383963803a9fcfac1a3	a938ec35a20dca2e5878a8750fb44683b67a5f7c2d23d383963803a9fcfac1a3-libjson-glib-1.0-common_1.6.2-1_all.deb
libjsoncpp24	1.9.4-4	amd64	libjsoncpp	1.9.4-4	libjsoncpp24	arm64	native-arm64	exact-binary-and-source-version	1.9.4-4	b8e04a858f2059d4e9d66b79f359995e38ff8c9509175647d6f98ba1f8b29b2a	b8e04a858f2059d4e9d66b79f359995e38ff8c9509175647d6f98ba1f8b29b2a-libjsoncpp24_1.9.4-4_arm64.deb
libk5crypto3	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libk5crypto3	arm64	native-arm64	exact-binary-and-source-version	1.18.3-6+deb11u3	6193fca1f4dbcc366cff4767194f9bcc278467c9dcd786c90a2933846312db39	6193fca1f4dbcc366cff4767194f9bcc278467c9dcd786c90a2933846312db39-libk5crypto3_1.18.3-6+deb11u3_arm64.deb
libkate1	0.4.1-11	amd64	libkate	0.4.1-11	libkate1	arm64	native-arm64	exact-binary-and-source-version	0.4.1-11	97890e66ff7ac0dbc99ab927ffe441feb9c51922cf6aeefd86c504e4ef9613dc	97890e66ff7ac0dbc99ab927ffe441feb9c51922cf6aeefd86c504e4ef9613dc-libkate1_0.4.1-11_arm64.deb
libkeybinder-3.0-0	0.3.2-1.1	amd64	keybinder-3.0	0.3.2-1.1	libkeybinder-3.0-0	arm64	native-arm64	exact-binary-and-source-version	0.3.2-1.1	3b393e448bef34dc6e06dcbed7e699ffdc2ce00cf156d114ebf2e11ad167fed4	3b393e448bef34dc6e06dcbed7e699ffdc2ce00cf156d114ebf2e11ad167fed4-libkeybinder-3.0-0_0.3.2-1.1_arm64.deb
