reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libwoff1	1.0.2-1+b1	amd64	woff2	1.0.2-1	libwoff1	arm64	native-arm64	exact-binary-and-source-version	1.0.2-1+b1	68374f9c75187e2da527dd00a88d5ecb99d903fc6e094231caa7c02ce89079f9	68374f9c75187e2da527dd00a88d5ecb99d903fc6e094231caa7c02ce89079f9-libwoff1_1.0.2-1+b1_arm64.deb
libwpe-1.0-1	1.10.0-2	amd64	libwpe	1.10.0-2	libwpe-1.0-1	arm64	native-arm64	exact-binary-and-source-version	1.10.0-2	a639f778fbdafe16064d3d4cabc18413f8f29312b7e246ac3c2d4dd021f08129	a639f778fbdafe16064d3d4cabc18413f8f29312b7e246ac3c2d4dd021f08129-libwpe-1.0-1_1.10.0-2_arm64.deb
libwpebackend-fdo-1.0-1	1.8.0-1	amd64	wpebackend-fdo	1.8.0-1	libwpebackend-fdo-1.0-1	arm64	native-arm64	exact-binary-and-source-version	1.8.0-1	4d33d16f8b59c6a854f67291bf22c787931888c5c73dc234d6c0a20fd190f9a0	4d33d16f8b59c6a854f67291bf22c787931888c5c73dc234d6c0a20fd190f9a0-libwpebackend-fdo-1.0-1_1.8.0-1_arm64.deb
libwrap0	7.6.q-31	amd64	tcp-wrappers	7.6.q-31	libwrap0	arm64	native-arm64	exact-binary-and-source-version	7.6.q-31	8e57d2f27eea81a61ea144e8c0b8301c3ab4a6195dc2366c2c703d49b7b79e7d	8e57d2f27eea81a61ea144e8c0b8301c3ab4a6195dc2366c2c703d49b7b79e7d-libwrap0_7.6.q-31_arm64.deb
libx11-6	2:1.7.2-1+deb11u1	amd64	libx11	2:1.7.2-1+deb11u1	libx11-6	arm64	native-arm64	exact-binary-and-source-version	2:1.7.2-1+deb11u1	cb81bb619cc3e822df4c47acd01ed2988b5d1da9ae75bca203f3c6fc53db16e9	cb81bb619cc3e822df4c47acd01ed2988b5d1da9ae75bca203f3c6fc53db16e9-libx11-6_2%3a1.7.2-1+deb11u1_arm64.deb
libx11-data	2:1.7.2-1+deb11u1	all	libx11	2:1.7.2-1+deb11u1	libx11-data	all	reuse-all	exact-binary-and-source-version	2:1.7.2-1+deb11u1	457db358e1d77cfe4f8af5e6efa7a1b262848b65192589932c38a589a4b6976b	457db358e1d77cfe4f8af5e6efa7a1b262848b65192589932c38a589a4b6976b-libx11-data_2%3a1.7.2-1+deb11u1_all.deb
libx11-xcb1	2:1.7.2-1+deb11u1	amd64	libx11	2:1.7.2-1+deb11u1	libx11-xcb1	arm64	native-arm64	exact-binary-and-source-version	2:1.7.2-1+deb11u1	7ff70db5618029d423c9379f28e0549825895648b13981237a63f450b187a769	7ff70db5618029d423c9379f28e0549825895648b13981237a63f450b187a769-libx11-xcb1_2%3a1.7.2-1+deb11u1_arm64.deb
libx264-160	2:0.160.3011+gitcde9a93-2.1	amd64	x264	2:0.160.3011+gitcde9a93-2.1	libx264-160	arm64	native-arm64	exact-binary-and-source-version	2:0.160.3011+gitcde9a93-2.1	3e379d7147e548a43f8a4ca4fb291d839d0a3d8cc07df73e5cbc88b856818b92	3e379d7147e548a43f8a4ca4fb291d839d0a3d8cc07df73e5cbc88b856818b92-libx264-160_2%3a0.160.3011+gitcde9a93-2.1_arm64.deb
libx265-192	3.4-2	amd64	x265	3.4-2	libx265-192	arm64	native-arm64	exact-binary-and-source-version	3.4-2	4da85b00f95645ab01832af0bec627534608481a6f181c0fbbabeb5c04c2a1cc	4da85b00f95645ab01832af0bec627534608481a6f181c0fbbabeb5c04c2a1cc-libx265-192_3.4-2_arm64.deb
libxapian30	1.4.18-3+deb11u1	amd64	xapian-core	1.4.18-3+deb11u1	libxapian30	arm64	native-arm64	exact-binary-and-source-version	1.4.18-3+deb11u1	837c3ce1739eba947fbc07f686a187db1968e14bcfc314dd23c55f0d9c2fbd15	837c3ce1739eba947fbc07f686a187db1968e14bcfc314dd23c55f0d9c2fbd15-libxapian30_1.4.18-3+deb11u1_arm64.deb
libxau6	1:1.0.9-1	amd64	libxau	1:1.0.9-1	libxau6	arm64	native-arm64	exact-binary-and-source-version	1:1.0.9-1	36c2bf400641a80521093771dc2562c903df4065f9eb03add50d90564337ea6c	36c2bf400641a80521093771dc2562c903df4065f9eb03add50d90564337ea6c-libxau6_1%3a1.0.9-1_arm64.deb
libxaw7	2:1.0.13-1.1	amd64	libxaw	2:1.0.13-1.1	libxaw7	arm64	native-arm64	exact-binary-and-source-version	2:1.0.13-1.1	98891c3e058692dde4267b2d7d831499d6dc099e1b92cd35203663c23a60b7bc	98891c3e058692dde4267b2d7d831499d6dc099e1b92cd35203663c23a60b7bc-libxaw7_2%3a1.0.13-1.1_arm64.deb
libxcb-dri2-0	1.14-3	amd64	libxcb	1.14-3	libxcb-dri2-0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	b99d1f4909d0a3fe85dfba6524fb0a8c4d08703366ed99f034417684e91ded5b	b99d1f4909d0a3fe85dfba6524fb0a8c4d08703366ed99f034417684e91ded5b-libxcb-dri2-0_1.14-3_arm64.deb
libxcb-dri3-0	1.14-3	amd64	libxcb	1.14-3	libxcb-dri3-0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	9a6dc75fd8e9fe720f62f99cfebef0cbe51cf2909aa5e777254cb6a3ddf47f6f	9a6dc75fd8e9fe720f62f99cfebef0cbe51cf2909aa5e777254cb6a3ddf47f6f-libxcb-dri3-0_1.14-3_arm64.deb
libxcb-glx0	1.14-3	amd64	libxcb	1.14-3	libxcb-glx0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	754902f3399fd5c9c851dbf150306f537acab7152b9f32206a7910b7c3f353e1	754902f3399fd5c9c851dbf150306f537acab7152b9f32206a7910b7c3f353e1-libxcb-glx0_1.14-3_arm64.deb
libxcb-icccm4	0.4.1-1.1	amd64	xcb-util-wm	0.4.1-1.1	libxcb-icccm4	arm64	native-arm64	exact-binary-and-source-version	0.4.1-1.1	fae1ce96d05aa7728ca42a1c3802febdc604781276d067e3c8bfb4898cfd4fe7	fae1ce96d05aa7728ca42a1c3802febdc604781276d067e3c8bfb4898cfd4fe7-libxcb-icccm4_0.4.1-1.1_arm64.deb
libxcb-image0	0.4.0-1+b3	amd64	xcb-util-image	0.4.0-1	libxcb-image0	arm64	native-arm64	exact-binary-and-source-version	0.4.0-1+b3	f626b351b6770ee9131131e3b76ed9ab8bfc3b4e1fd441fb7370b9e6a8a5bfa4	f626b351b6770ee9131131e3b76ed9ab8bfc3b4e1fd441fb7370b9e6a8a5bfa4-libxcb-image0_0.4.0-1+b3_arm64.deb
libxcb-keysyms1	0.4.0-1+b2	amd64	xcb-util-keysyms	0.4.0-1	libxcb-keysyms1	arm64	native-arm64	exact-binary-and-source-version	0.4.0-1+b2	7fcd8c1489db59403079e0c495999e68e91210553ed3cf4ee91eb6a3793ca572	7fcd8c1489db59403079e0c495999e68e91210553ed3cf4ee91eb6a3793ca572-libxcb-keysyms1_0.4.0-1+b2_arm64.deb
libxcb-present0	1.14-3	amd64	libxcb	1.14-3	libxcb-present0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	9e84b49e46833fd3fb366b04d19c652a0e8d2ebe3d40f19f9b530763ba2f7b88	9e84b49e46833fd3fb366b04d19c652a0e8d2ebe3d40f19f9b530763ba2f7b88-libxcb-present0_1.14-3_arm64.deb
libxcb-randr0	1.14-3	amd64	libxcb	1.14-3	libxcb-randr0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	e7e732f9ed660cd22b68b22ceb02a224d0d2268639cf8fa9f96ba7bdd65cbd09	e7e732f9ed660cd22b68b22ceb02a224d0d2268639cf8fa9f96ba7bdd65cbd09-libxcb-randr0_1.14-3_arm64.deb
libxcb-render-util0	0.3.9-1+b1	amd64	xcb-util-renderutil	0.3.9-1	libxcb-render-util0	arm64	native-arm64	exact-binary-and-source-version	0.3.9-1+b1	3d2ed6974f414cd5da7abff2f55c6f2e534155ccc53b00719f5d4116b91fe1a6	3d2ed6974f414cd5da7abff2f55c6f2e534155ccc53b00719f5d4116b91fe1a6-libxcb-render-util0_0.3.9-1+b1_arm64.deb
libxcb-render0	1.14-3	amd64	libxcb	1.14-3	libxcb-render0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	e794ba2657c5f21dcca327343b41b1997a150b6ac27977970404d60f471be48a	e794ba2657c5f21dcca327343b41b1997a150b6ac27977970404d60f471be48a-libxcb-render0_1.14-3_arm64.deb
libxcb-shape0	1.14-3	amd64	libxcb	1.14-3	libxcb-shape0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	8713f178775c0ab3df4a1addb03617ed2b5b111821a58743b0fe4d28298633f4	8713f178775c0ab3df4a1addb03617ed2b5b111821a58743b0fe4d28298633f4-libxcb-shape0_1.14-3_arm64.deb
libxcb-shm0	1.14-3	amd64	libxcb	1.14-3	libxcb-shm0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	e7f59fc41744fe6b8b9ba97b262a051621173689e2a3e5ebb26dc253c9bdc48b	e7f59fc41744fe6b8b9ba97b262a051621173689e2a3e5ebb26dc253c9bdc48b-libxcb-shm0_1.14-3_arm64.deb
libxcb-sync1	1.14-3	amd64	libxcb	1.14-3	libxcb-sync1	arm64	native-arm64	exact-binary-and-source-version	1.14-3	ba70a2194fa7875f1a3ef6fb31bdd4cca5ca970926e3201994a166c5026ce442	ba70a2194fa7875f1a3ef6fb31bdd4cca5ca970926e3201994a166c5026ce442-libxcb-sync1_1.14-3_arm64.deb
libxcb-util1	0.4.0-1+b1	amd64	xcb-util	0.4.0-1	libxcb-util1	arm64	native-arm64	exact-binary-and-source-version	0.4.0-1+b1	1d5d135c2e5965a7f79e0109da184ca1daff7e1475b69a0481208a7fea0be14e	1d5d135c2e5965a7f79e0109da184ca1daff7e1475b69a0481208a7fea0be14e-libxcb-util1_0.4.0-1+b1_arm64.deb
libxcb-xfixes0	1.14-3	amd64	libxcb	1.14-3	libxcb-xfixes0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	8185fca98fda89fc5a020b9a8cd92b093929830a29cf92e6a1eba04bd88bcf5f	8185fca98fda89fc5a020b9a8cd92b093929830a29cf92e6a1eba04bd88bcf5f-libxcb-xfixes0_1.14-3_arm64.deb
libxcb-xinerama0	1.14-3	amd64	libxcb	1.14-3	libxcb-xinerama0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	a79b4595b94b219e5d956d2ad0b7ecf6a8b261acd5baf3922dfdc33b2b173906	a79b4595b94b219e5d956d2ad0b7ecf6a8b261acd5baf3922dfdc33b2b173906-libxcb-xinerama0_1.14-3_arm64.deb
libxcb-xinput0	1.14-3	amd64	libxcb	1.14-3	libxcb-xinput0	arm64	native-arm64	exact-binary-and-source-version	1.14-3	3816ff700df85ff10ff6fdf95a88400dddcd8a4c4968ec697e94529a1d6f09b7	3816ff700df85ff10ff6fdf95a88400dddcd8a4c4968ec697e94529a1d6f09b7-libxcb-xinput0_1.14-3_arm64.deb
libxcb-xkb1	1.14-3	amd64	libxcb	1.14-3	libxcb-xkb1	arm64	native-arm64	exact-binary-and-source-version	1.14-3	9f5e691887706ab67611ae76db2e619f8fad491d672a9c10c4be98ac7022d26f	9f5e691887706ab67611ae76db2e619f8fad491d672a9c10c4be98ac7022d26f-libxcb-xkb1_1.14-3_arm64.deb
libxcb1	1.14-3	amd64	libxcb	1.14-3	libxcb1	arm64	native-arm64	exact-binary-and-source-version	1.14-3	48f82b65c93adb7af7757961fdd2730928316459f008d767b7104a56bc20a8f1	48f82b65c93adb7af7757961fdd2730928316459f008d767b7104a56bc20a8f1-libxcb1_1.14-3_arm64.deb
libxcomposite1	1:0.4.5-1	amd64	libxcomposite	1:0.4.5-1	libxcomposite1	arm64	native-arm64	exact-binary-and-source-version	1:0.4.5-1	cfe39326fdb822e9d060ed5eb3f95b14459dd6b73793c5290000f9b27f8bad37	cfe39326fdb822e9d060ed5eb3f95b14459dd6b73793c5290000f9b27f8bad37-libxcomposite1_1%3a0.4.5-1_arm64.deb
libxcursor1	1:1.2.0-2	amd64	libxcursor	1:1.2.0-2	libxcursor1	arm64	native-arm64	exact-binary-and-source-version	1:1.2.0-2	2e309833ccf7e6b62560240cd84e325cafcb2ce70b1fb297469957360cee4478	2e309833ccf7e6b62560240cd84e325cafcb2ce70b1fb297469957360cee4478-libxcursor1_1%3a1.2.0-2_arm64.deb
libxdamage1	1:1.1.5-2	amd64	libxdamage	1:1.1.5-2	libxdamage1	arm64	native-arm64	exact-binary-and-source-version	1:1.1.5-2	696cb56f414e7c0ea9a3bcbcb63b07f6ed8e980023c1b35006d5c1dc0d0213ed	696cb56f414e7c0ea9a3bcbcb63b07f6ed8e980023c1b35006d5c1dc0d0213ed-libxdamage1_1%3a1.1.5-2_arm64.deb
libxdmcp6	1:1.1.2-3	amd64	libxdmcp	1:1.1.2-3	libxdmcp6	arm64	native-arm64	exact-binary-and-source-version	1:1.1.2-3	e92569ac33247261aa09adfadc34ced3994ac301cf8b58de415a2d5dbf15ccfc	e92569ac33247261aa09adfadc34ced3994ac301cf8b58de415a2d5dbf15ccfc-libxdmcp6_1%3a1.1.2-3_arm64.deb
libxext6	2:1.3.3-1.1	amd64	libxext	2:1.3.3-1.1	libxext6	arm64	native-arm64	exact-binary-and-source-version	2:1.3.3-1.1	57237ecf54662372e206b154c0ab6096e05955e048552575b45d3ad14a6ff6e5	57237ecf54662372e206b154c0ab6096e05955e048552575b45d3ad14a6ff6e5-libxext6_2%3a1.3.3-1.1_arm64.deb
libxfixes3	1:5.0.3-2	amd64	libxfixes	1:5.0.3-2	libxfixes3	arm64	native-arm64	exact-binary-and-source-version	1:5.0.3-2	eb70f12af1d13e1632ee29ddf103617af00a078faf6c3a2531ab3d01b395606b	eb70f12af1d13e1632ee29ddf103617af00a078faf6c3a2531ab3d01b395606b-libxfixes3_1%3a5.0.3-2_arm64.deb
libxfont2	1:2.0.4-1	amd64	libxfont	1:2.0.4-1	libxfont2	arm64	native-arm64	exact-binary-and-source-version	1:2.0.4-1	efbea14096acdaf397ca63b6f659118dbfab685f56e87f8646e5137fa410d7f1	efbea14096acdaf397ca63b6f659118dbfab685f56e87f8646e5137fa410d7f1-libxfont2_1%3a2.0.4-1_arm64.deb
libxft2	2.3.2-2	amd64	xft	2.3.2-2	libxft2	arm64	native-arm64	exact-binary-and-source-version	2.3.2-2	6941176bcc78bf02d1635575a8cc726a7eb0628d8476efca7607718bdc1f50c5	6941176bcc78bf02d1635575a8cc726a7eb0628d8476efca7607718bdc1f50c5-libxft2_2.3.2-2_arm64.deb
libxi6	2:1.7.10-1	amd64	libxi	2:1.7.10-1	libxi6	arm64	native-arm64	exact-binary-and-source-version	2:1.7.10-1	0a6788844441f160d970fc7d61004607fe92cfad8966d0b371291703201b3971	0a6788844441f160d970fc7d61004607fe92cfad8966d0b371291703201b3971-libxi6_2%3a1.7.10-1_arm64.deb
libxinerama1	2:1.1.4-2	amd64	libxinerama	2:1.1.4-2	libxinerama1	arm64	native-arm64	exact-binary-and-source-version	2:1.1.4-2	bbdef95d025fb804797a5b1a71f319f5f74c0114e90d759b3e9ecf7654442598	bbdef95d025fb804797a5b1a71f319f5f74c0114e90d759b3e9ecf7654442598-libxinerama1_2%3a1.1.4-2_arm64.deb
libxkbcommon-x11-0	1.0.3-2	amd64	libxkbcommon	1.0.3-2	libxkbcommon-x11-0	arm64	native-arm64	exact-binary-and-source-version	1.0.3-2	ed8c0a151b8b72df26906009b9035c6b31fd4cc47652219e8d3da605dcceb73f	ed8c0a151b8b72df26906009b9035c6b31fd4cc47652219e8d3da605dcceb73f-libxkbcommon-x11-0_1.0.3-2_arm64.deb
libxkbcommon0	1.0.3-2	amd64	libxkbcommon	1.0.3-2	libxkbcommon0	arm64	native-arm64	exact-binary-and-source-version	1.0.3-2	91c19f642af34ae8cb909d00d08bc83f0b4f8e87ddde6984bd8bff0f7bf83204	91c19f642af34ae8cb909d00d08bc83f0b4f8e87ddde6984bd8bff0f7bf83204-libxkbcommon0_1.0.3-2_arm64.deb
libxkbfile1	1:1.1.0-1	amd64	libxkbfile	1:1.1.0-1	libxkbfile1	arm64	native-arm64	exact-binary-and-source-version	1:1.1.0-1	d5fa175e392561675075232697a52030eedbf18a2e910fae87d5a2095fa7fc99	d5fa175e392561675075232697a52030eedbf18a2e910fae87d5a2095fa7fc99-libxkbfile1_1%3a1.1.0-1_arm64.deb
libxkbregistry0	1.0.3-2	amd64	libxkbcommon	1.0.3-2	libxkbregistry0	arm64	native-arm64	exact-binary-and-source-version	1.0.3-2	387fb019a28500d0532b0c626a094c66b6a8f9d52b9230734301479fd8f03963	387fb019a28500d0532b0c626a094c66b6a8f9d52b9230734301479fd8f03963-libxkbregistry0_1.0.3-2_arm64.deb
libxklavier16	5.4-4	amd64	libxklavier	5.4-4	libxklavier16	arm64	native-arm64	exact-binary-and-source-version	5.4-4	3a871f53be8ea26068400c90f1052e23a9c96a27eb5f4d8c86ebd5c1d9d606dc	3a871f53be8ea26068400c90f1052e23a9c96a27eb5f4d8c86ebd5c1d9d606dc-libxklavier16_5.4-4_arm64.deb
libxml2	2.9.10+dfsg-6.7+deb11u4	amd64	libxml2	2.9.10+dfsg-6.7+deb11u4	libxml2	arm64	native-arm64	exact-binary-and-source-version	2.9.10+dfsg-6.7+deb11u4	ccd9f449fa88827258bd51eeb8d5f6f33719df290f157c2b0be3c527a6ee45aa	ccd9f449fa88827258bd51eeb8d5f6f33719df290f157c2b0be3c527a6ee45aa-libxml2_2.9.10+dfsg-6.7+deb11u4_arm64.deb
libxmu6	2:1.1.2-2+b3	amd64	libxmu	2:1.1.2-2	libxmu6	arm64	native-arm64	exact-binary-and-source-version	2:1.1.2-2+b3	7c4f854b9b346401e13331ce99c0dfb605a88ab70304785c24cd53fa93ccecc8	7c4f854b9b346401e13331ce99c0dfb605a88ab70304785c24cd53fa93ccecc8-libxmu6_2%3a1.1.2-2+b3_arm64.deb
libxmuu1	2:1.1.2-2+b3	amd64	libxmu	2:1.1.2-2	libxmuu1	arm64	native-arm64	exact-binary-and-source-version	2:1.1.2-2+b3	77e33ef23360da6c7920b0cda2da016e71af187826f34e3b002c958d6758b5bf	77e33ef23360da6c7920b0cda2da016e71af187826f34e3b002c958d6758b5bf-libxmuu1_2%3a1.1.2-2+b3_arm64.deb
libxnvctrl0	470.141.03-1~deb11u1	amd64	nvidia-settings	470.141.03-1~deb11u1	libxnvctrl0	arm64	native-arm64	exact-binary-and-source-version	470.141.03-1~deb11u1	951be40034d348eee99268123d1599c9203c10c5fec7c3dc2af9260cbbc43bed	951be40034d348eee99268123d1599c9203c10c5fec7c3dc2af9260cbbc43bed-libxnvctrl0_470.141.03-1~deb11u1_arm64.deb
libxpm4	1:3.5.12-1.1~deb11u1	amd64	libxpm	1:3.5.12-1.1~deb11u1	libxpm4	arm64	native-arm64	exact-binary-and-source-version	1:3.5.12-1.1~deb11u1	88278fd09bd70731e95ed59d6522b60535bd7d367821841cc273703e186e62b1	88278fd09bd70731e95ed59d6522b60535bd7d367821841cc273703e186e62b1-libxpm4_1%3a3.5.12-1.1~deb11u1_arm64.deb
libxpresent1	1.0.0-2+b10	amd64	libxpresent	1.0.0-2	libxpresent1	arm64	native-arm64	exact-binary-and-source-version	1.0.0-2+b10	d8936dcb97d4e879602fa07815c3d9e3bc544e1626b978728af6dff787898e97	d8936dcb97d4e879602fa07815c3d9e3bc544e1626b978728af6dff787898e97-libxpresent1_1.0.0-2+b10_arm64.deb
libxrandr2	2:1.5.1-1	amd64	libxrandr	2:1.5.1-1	libxrandr2	arm64	native-arm64	exact-binary-and-source-version	2:1.5.1-1	04c9c59ba1e9648e0ec80d66fa34bab7bf039822f32eb31f706656968052e915	04c9c59ba1e9648e0ec80d66fa34bab7bf039822f32eb31f706656968052e915-libxrandr2_2%3a1.5.1-1_arm64.deb
libxrender1	1:0.9.10-1	amd64	libxrender	1:0.9.10-1	libxrender1	arm64	native-arm64	exact-binary-and-source-version	1:0.9.10-1	fcae69900b599e7b31b31eafa203a184e00376ade1d2f74f9b3d7b24991573a0	fcae69900b599e7b31b31eafa203a184e00376ade1d2f74f9b3d7b24991573a0-libxrender1_1%3a0.9.10-1_arm64.deb
libxres1	2:1.2.0-4	amd64	libxres	2:1.2.0-4	libxres1	arm64	native-arm64	exact-binary-and-source-version	2:1.2.0-4	459de7cb0e7165c2f2c91bae0718a9a47ece6352ee5c3544cf06e319eaf400cd	459de7cb0e7165c2f2c91bae0718a9a47ece6352ee5c3544cf06e319eaf400cd-libxres1_2%3a1.2.0-4_arm64.deb
libxshmfence1	1.3-1	amd64	libxshmfence	1.3-1	libxshmfence1	arm64	native-arm64	exact-binary-and-source-version	1.3-1	fa2edaae6902681ecd02534dcdf8389ac48714d3385d572cc17747160957acc8	fa2edaae6902681ecd02534dcdf8389ac48714d3385d572cc17747160957acc8-libxshmfence1_1.3-1_arm64.deb
libxslt1.1	1.1.34-4+deb11u1	amd64	libxslt	1.1.34-4+deb11u1	libxslt1.1	arm64	native-arm64	exact-binary-and-source-version	1.1.34-4+deb11u1	2505ed3d8e6b049349ecfeff1cb6923eca43403d252e8ddd308a6a644b97eec7	2505ed3d8e6b049349ecfeff1cb6923eca43403d252e8ddd308a6a644b97eec7-libxslt1.1_1.1.34-4+deb11u1_arm64.deb
libxss1	1:1.2.3-1	amd64	libxss	1:1.2.3-1	libxss1	arm64	native-arm64	exact-binary-and-source-version	1:1.2.3-1	e0ff80e309eacda5face68b9a3bd56718fed2750af429324c35d7c9491c335f4	e0ff80e309eacda5face68b9a3bd56718fed2750af429324c35d7c9491c335f4-libxss1_1%3a1.2.3-1_arm64.deb
libxt6	1:1.2.0-1	amd64	libxt	1:1.2.0-1	libxt6	arm64	native-arm64	exact-binary-and-source-version	1:1.2.0-1	63302543152076939104aa610930596fa2496551bfcf0b29547baa055d3dc26d	63302543152076939104aa610930596fa2496551bfcf0b29547baa055d3dc26d-libxt6_1%3a1.2.0-1_arm64.deb
libxtables12	1.8.7-1	amd64	iptables	1.8.7-1	libxtables12	arm64	native-arm64	exact-binary-and-source-version	1.8.7-1	fa07088a313d8dae7a8cba0780117e80ead683ac549fd9986a52a3280232272a	fa07088a313d8dae7a8cba0780117e80ead683ac549fd9986a52a3280232272a-libxtables12_1.8.7-1_arm64.deb
libxtst6	2:1.2.3-1	amd64	libxtst	2:1.2.3-1	libxtst6	arm64	native-arm64	exact-binary-and-source-version	2:1.2.3-1	1124ac3c680f1d454a676366d96564ffb8c8924214c776b514965f9c4fbd49ca	1124ac3c680f1d454a676366d96564ffb8c8924214c776b514965f9c4fbd49ca-libxtst6_2%3a1.2.3-1_arm64.deb
libxv1	2:1.0.11-1	amd64	libxv	2:1.0.11-1	libxv1	arm64	native-arm64	exact-binary-and-source-version	2:1.0.11-1	04a97f8ead1cbb888c00a63b2e01d18448e4991f0b9421ec42a6b7e2b328c648	04a97f8ead1cbb888c00a63b2e01d18448e4991f0b9421ec42a6b7e2b328c648-libxv1_2%3a1.0.11-1_arm64.deb
libxvidcore4	2:1.3.7-1	amd64	xvidcore	2:1.3.7-1	libxvidcore4	arm64	native-arm64	exact-binary-and-source-version	2:1.3.7-1	b950edcb42803f158f94cd2ee44850082c98c92d54e20982ad933936f5f1d181	b950edcb42803f158f94cd2ee44850082c98c92d54e20982ad933936f5f1d181-libxvidcore4_2%3a1.3.7-1_arm64.deb
libxvmc1	2:1.0.12-2	amd64	libxvmc	2:1.0.12-2	libxvmc1	arm64	native-arm64	exact-binary-and-source-version	2:1.0.12-2	89be18aabba543306aa5a98f3091e7f6243ef5558c4d596d41f5f4fdc53fee79	89be18aabba543306aa5a98f3091e7f6243ef5558c4d596d41f5f4fdc53fee79-libxvmc1_2%3a1.0.12-2_arm64.deb
libxxf86dga1	2:1.1.4-1+b3	amd64	libxxf86dga	2:1.1.4-1	libxxf86dga1	arm64	native-arm64	exact-binary-and-source-version	2:1.1.4-1+b3	adb264762f1582993e359c48b9b287637086435222095aa40250f228198bf7dc	adb264762f1582993e359c48b9b287637086435222095aa40250f228198bf7dc-libxxf86dga1_2%3a1.1.4-1+b3_arm64.deb
libxxf86vm1	1:1.1.4-1+b2	amd64	libxxf86vm	1:1.1.4-1	libxxf86vm1	arm64	native-arm64	exact-binary-and-source-version	1:1.1.4-1+b2	8a4826772ac480804d6b8d776a4130d95260c036b9b218de4c8a0f07eb9c5bba	8a4826772ac480804d6b8d776a4130d95260c036b9b218de4c8a0f07eb9c5bba-libxxf86vm1_1%3a1.1.4-1+b2_arm64.deb
libxxhash0	0.8.0-2	amd64	xxhash	0.8.0-2	libxxhash0	arm64	native-arm64	exact-binary-and-source-version	0.8.0-2	a31effcbd7a248b64dd480330557f41ea796a010b2c2e7ac91ed10f94e605065	a31effcbd7a248b64dd480330557f41ea796a010b2c2e7ac91ed10f94e605065-libxxhash0_0.8.0-2_arm64.deb
libyaml-0-2	0.2.2-1	amd64	libyaml	0.2.2-1	libyaml-0-2	arm64	native-arm64	exact-binary-and-source-version	0.2.2-1	84cb849b4475b7d0238d1f100ba3e3f29f7149258b273ba30b981aba2be03635	84cb849b4475b7d0238d1f100ba3e3f29f7149258b273ba30b981aba2be03635-libyaml-0-2_0.2.2-1_arm64.deb
libyelp0	3.38.3-1+han3u3	amd64	yelp	3.38.3-1+han3u3	libyelp0	arm64	native-arm64	exact-binary-and-source-version	3.38.3-1+han3u3	4b8f914baa2b910690305b4cf1ca022383ae09d8a1637f0722407509d0d42afe	4b8f914baa2b910690305b4cf1ca022383ae09d8a1637f0722407509d0d42afe-libyelp0_3.38.3-1+han3u3_arm64.deb
libz3-4	4.8.10-1	amd64	z3	4.8.10-1	libz3-4	arm64	native-arm64	exact-binary-and-source-version	4.8.10-1	ae1ea58ecfdd4b5ec53d734e60ac2df37fddb11888b7730a19335f1a9b09f489	ae1ea58ecfdd4b5ec53d734e60ac2df37fddb11888b7730a19335f1a9b09f489-libz3-4_4.8.10-1_arm64.deb
libzbar0	0.23.90-1	amd64	zbar	0.23.90-1	libzbar0	arm64	native-arm64	exact-binary-and-source-version	0.23.90-1	954f155683b38978edeb674e1492dbcb1c8987adf23a72f1987074dd6fa25004	954f155683b38978edeb674e1492dbcb1c8987adf23a72f1987074dd6fa25004-libzbar0_0.23.90-1_arm64.deb
libzeitgeist-2.0-0	1.0.3-4	amd64	zeitgeist	1.0.3-4	libzeitgeist-2.0-0	arm64	native-arm64	exact-binary-and-source-version	1.0.3-4	5d89b5e62d495c1960c27762b562fda142598cfd04424f36ab8c89e7e061f536	5d89b5e62d495c1960c27762b562fda142598cfd04424f36ab8c89e7e061f536-libzeitgeist-2.0-0_1.0.3-4_arm64.deb
libzmq5	4.3.4-1	amd64	zeromq3	4.3.4-1	libzmq5	arm64	native-arm64	exact-binary-and-source-version	4.3.4-1	e5eaecc454d6792848a2ff866d73e3123b9ccdd08c9bd9e6096b52f08e484a13	e5eaecc454d6792848a2ff866d73e3123b9ccdd08c9bd9e6096b52f08e484a13-libzmq5_4.3.4-1_arm64.deb
libzstd1	1.4.8+dfsg-2.1	amd64	libzstd	1.4.8+dfsg-2.1	libzstd1	arm64	native-arm64	exact-binary-and-source-version	1.4.8+dfsg-2.1	dd01659c6c122f983a3369a04ede63539f666585d52a03f8aa2c27b307e547e0	dd01659c6c122f983a3369a04ede63539f666585d52a03f8aa2c27b307e547e0-libzstd1_1.4.8+dfsg-2.1_arm64.deb
