path	classification	unsigned_equal	runtime_equal	executable_equal	writable_equal	symbol_equal	text_equal	different_runtime_sections
kernel/drivers/net/ethernet/dec/tulip/dmfe.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/dec/tulip/tulip.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/dec/tulip/uli526x.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/dec/tulip/winbond-840.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/dec/tulip/xircom_cb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/dlink/dl2k.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/dlink/sundance.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/emulex/benet/be2net.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,__jump_table,__versions
kernel/drivers/net/ethernet/fealnx.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/fujitsu/fmvj18x_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/google/gve/gve.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/huawei/hinic/hinic.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/intel/e100.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/intel/e1000/e1000.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.text,__dyndbg,__jump_table,__mcount_loc,__versions
kernel/drivers/net/ethernet/intel/e1000e/e1000e.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.retpoline_sites,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__bug_table,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/intel/i40e/i40e.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__tracepoints,__versions
kernel/drivers/net/ethernet/intel/iavf/iavf.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,.text.unlikely,__dyndbg,__jump_table,__tracepoints,__versions
kernel/drivers/net/ethernet/intel/ice/ice.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__mcount_loc,__versions
kernel/drivers/net/ethernet/intel/igb/igb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.text,__bug_table,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/intel/igbvf/igbvf.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/intel/igc/igc.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,__bug_table,__dyndbg,__jump_table,__mcount_loc,__versions
kernel/drivers/net/ethernet/intel/ixgb/ixgb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/intel/ixgbe/ixgbe.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
