package	version	architecture	source	source_version	multi_arch	essential	priority	section	custom_candidate
gir1.2-gtksource-4	4.8.0-1	amd64	gtksourceview4	4.8.0-1	same	no	optional	introspection	False
gir1.2-harfbuzz-0.0	2.7.4-1	amd64	harfbuzz	2.7.4-1	same	no	optional	introspection	False
gir1.2-javascriptcoregtk-4.0	2.40.3-2~deb11u2	amd64	webkit2gtk	2.40.3-2~deb11u2	same	no	optional	introspection	False
gir1.2-keybinder-3.0	0.3.2-1.1	amd64	keybinder-3.0	0.3.2-1.1		no	optional	introspection	False
gir1.2-malcontent-0	0.10.0-2	amd64	malcontent	0.10.0-2	same	no	optional	introspection	False
gir1.2-notify-0.7	0.7.9-3	amd64	libnotify	0.7.9-3	same	no	optional	introspection	False
gir1.2-packagekitglib-1.0	1.2.2-2	amd64	packagekit	1.2.2-2		no	optional	introspection	False
gir1.2-pango-1.0	1.46.2-3	amd64	pango1.0	1.46.2-3	same	no	optional	introspection	False
gir1.2-peas-1.0	1.28.0-2+b1	amd64	libpeas	1.28.0-2	same	no	optional	introspection	False
gir1.2-polkit-1.0	0.105-31+nDeb11u1+grm3u1	amd64	policykit-1	0.105-31+nDeb11u1+grm3u1		no	optional	introspection	True
gir1.2-soup-2.4	2.72.0-2	amd64	libsoup2.4	2.72.0-2	same	no	optional	introspection	False
gir1.2-vte-2.91	0.62.3-1	amd64	vte2.91	0.62.3-1	same	no	optional	introspection	False
gir1.2-webkit2-4.0	2.40.3-2~deb11u2	amd64	webkit2gtk	2.40.3-2~deb11u2	same	no	optional	introspection	False
gir1.2-wnck-3.0	3.36.0-1	amd64	libwnck3	3.36.0-1	same	no	optional	introspection	False
gkbd-capplet	3.26.1-1	amd64	libgnomekbd	3.26.1-1		no	optional	gnome	False
glib-networking	2.66.0-2	amd64	glib-networking	2.66.0-2	same	no	optional	libs	False
glib-networking-common	2.66.0-2	all	glib-networking	2.66.0-2	foreign	no	optional	libs	False
glib-networking-services	2.66.0-2	amd64	glib-networking	2.66.0-2	foreign	no	optional	libs	False
glx-alternative-mesa	1.2.1~deb11u1	amd64	glx-alternatives	1.2.1~deb11u1	foreign	no	optional	contrib/libs	False
glx-alternative-nvidia	1.2.1~deb11u1	amd64	glx-alternatives	1.2.1~deb11u1	foreign	no	optional	contrib/libs	False
glx-diversions	1.2.1~deb11u1	amd64	glx-alternatives	1.2.1~deb11u1	foreign	no	optional	contrib/libs	False
gnome-bluetooth	3.34.3-2+grm3u1	amd64	gnome-bluetooth	3.34.3-2+grm3u1		no	optional	gnome	True
gnome-calculator	3.38.2-1	amd64	gnome-calculator	3.38.2-1		no	optional	math	False
gnome-control-center	1:3.38.4-1+grm3u9	amd64	gnome-control-center	1:3.38.4-1+grm3u9		no	optional	gnome	True
gnome-control-center-data	1:3.38.4-1+grm3u9	all	gnome-control-center	1:3.38.4-1+grm3u9	foreign	no	optional	gnome	True
gnome-desktop3-data	3.38.5-3	all	gnome-desktop3	3.38.5-3	foreign	no	optional	gnome	False
gnome-flashback	3.38.0-2+grm3u2+han3u4	amd64	gnome-flashback	3.38.0-2+grm3u2+han3u4		no	optional	gnome	True
gnome-flashback-common	3.38.0-2+grm3u2+han3u4	all	gnome-flashback	3.38.0-2+grm3u2+han3u4		no	optional	gnome	True
gnome-hwp-support	0.1.6-2	amd64	gnome-hwp-support	0.1.6-2		no	optional	gnome	False
gnome-icon-theme	3.12.0-3	all	gnome-icon-theme	3.12.0-3	foreign	no	optional	gnome	False
gnome-keyring	3.36.0-1	amd64	gnome-keyring	3.36.0-1	foreign	no	optional	gnome	False
gnome-menus	3.36.0-1	amd64	gnome-menus	3.36.0-1		no	optional	gnome	False
gnome-mpv	0.20-2+grm3u6	all	celluloid	0.20-2+grm3u6		no	optional	oldlibs	True
gnome-panel	3.38.0-1+grm3u1	amd64	gnome-panel	3.38.0-1+grm3u1		no	optional	gnome	True
gnome-panel-data	3.38.0-1+grm3u1	all	gnome-panel	3.38.0-1+grm3u1		no	optional	gnome	True
gnome-screenshot	3.38.0-1+grm3u2	amd64	gnome-screenshot	3.38.0-1+grm3u2		no	optional	gnome	True
gnome-session-bin	3.38.0-4	amd64	gnome-session	3.38.0-4		no	optional	gnome	False
gnome-session-canberra	0.30-7	amd64	libcanberra	0.30-7		no	optional	gnome	False
gnome-session-common	3.38.0-4	all	gnome-session	3.38.0-4		no	optional	gnome	False
gnome-session-flashback	3.38.0-2+grm3u2+han3u4	all	gnome-flashback	3.38.0-2+grm3u2+han3u4		no	optional	gnome	True
gnome-settings-daemon	3.38.2-1+grm3u1	amd64	gnome-settings-daemon	3.38.2-1+grm3u1		no	optional	gnome	True
gnome-settings-daemon-common	3.38.2-1+grm3u1	all	gnome-settings-daemon	3.38.2-1+grm3u1		no	optional	gnome	True
gnome-terminal	3.38.3-1	amd64	gnome-terminal	3.38.3-1	foreign	no	optional	gnome	False
gnome-terminal-data	3.38.3-1	all	gnome-terminal	3.38.3-1		no	optional	gnome	False
gnome-themes-extra	3.28-1	amd64	gnome-themes-extra	3.28-1	same	no	optional	gnome	False
gnome-themes-extra-data	3.28-1	all	gnome-themes-extra	3.28-1	foreign	no	optional	gnome	False
gnupg	2.2.27-2+deb11u2	all	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gnupg-l10n	2.2.27-2+deb11u2	all	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	localization	False
gnupg-utils	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gooroom-agent-service	0.4.8+grm3u1	all	gooroom-agent-service	0.4.8+grm3u1		no	optional	admin	True
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	amd64	gooroom-applauncher-applet	0.4.0+grm3u1+han3u2		no	optional	gnome	True
gooroom-archive-keyring	20201012+grm3u1	all	gooroom-archive-keyring	20201012+grm3u1		no	important	misc	True
gooroom-artwork-common	1.3.3+grm3u1	all	gooroom-artwork-common	1.3.3+grm3u1		no	optional	admin	True
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	all	gooroom-artwork-gnome-flashback	0.4.4+grm3u1		no	optional	gnome	True
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	all	gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1		no	optional	admin	True
gooroom-browser	3.5.0-1+grm3u3	amd64	gooroom-browser	3.5.0-1+grm3u3		no	optional	web	True
gooroom-browser-l10n	3.5.0-1+grm3u3	all	gooroom-browser	3.5.0-1+grm3u3		no	optional	localization	True
gooroom-client-server-register	1.1.1+han3u1	all	gooroom-client-server-register	1.1.1+han3u1		no	optional	admin	True
gooroom-dockbarx	1.3.0+grm3u3	all	gooroom-dockbarx	1.3.0+grm3u3		no	extra	gnome	True
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	amd64	gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1		no	optional	gnome	True
gooroom-dockbarx-common	1.3.0+grm3u3	all	gooroom-dockbarx	1.3.0+grm3u3		no	extra	gnome	True
gooroom-dockbarx-dockx	1.3.0+grm3u3	all	gooroom-dockbarx	1.3.0+grm3u3		no	extra	gnome	True
gooroom-greeter	0.3.1+grm3u1+han3u2	amd64	gooroom-greeter	0.3.1+grm3u1+han3u2		no	optional	x11	True
gooroom-guide	0.5.3+grm3u1+han3u1	amd64	gooroom-guide	0.5.3+grm3u1+han3u1		no	optional	admin	True
gooroom-icon-themes	1.3.6+grm3u1+han3u2	all	gooroom-icon-themes	1.3.6+grm3u1+han3u2		no	optional	gnome	True
gooroom-indicator-applet	0.3.0+grm3u1	amd64	gooroom-indicator-applet	0.3.0+grm3u1		no	optional	gnome	True
gooroom-info	3.3.0+grm3u1	all	gooroom-info	3.3.0+grm3u1		no	optional	admin	True
gooroom-integration-applet	0.3.1+grm3u1+han3u3	amd64	gooroom-integration-applet	0.3.1+grm3u1+han3u3		no	optional	gnome	True
gooroom-libsecurity-extensions	0.1.7+grm3u1	amd64	gooroom-libsecurity-extensions	0.1.7+grm3u1		no	optional	admin	True
gooroom-logout	0.3.0+grm3u1	amd64	gooroom-logout	0.3.0+grm3u1		no	optional	utils	True
gooroom-notice-applet	0.3.4+grm3u1	amd64	gooroom-notice-applet	0.3.4+grm3u1		no	optional	gnome	True
gooroom-notifyd	0.5.0+grm3u1	amd64	gooroom-notifyd	0.5.0+grm3u1		no	optional	misc	True
gooroom-security-status-tools	0.3.9+grm3u1	amd64	gooroom-security-status-tools	0.3.9+grm3u1		no	optional	misc	True
gooroom-security-utils	0.3.7+grm3u1	all	gooroom-security-utils	0.3.7+grm3u1		no	optional	admin	True
gooroom-session-manager	0.3.9+grm3u1+han3u2	amd64	gooroom-session-manager	0.3.9+grm3u1+han3u2		no	optional	misc	True
