source	source_version	binary_packages	custom_candidate
gtk+2.0	2.24.33-2+grm3u1	gtk2-engines-pixbuf,libgtk2.0-0,libgtk2.0-common	False
gtk+3.0	3.24.24-4+grm3u2	gir1.2-gtk-3.0,gtk-update-icon-cache,libgtk-3-0,libgtk-3-bin,libgtk-3-common	False
gtk2-engines-murrine	0.98.2-3	gtk2-engines-murrine	False
gtkmm3.0	3.24.2-2	libgtkmm-3.0-1v5	False
gtksourceview4	4.8.0-1	gir1.2-gtksource-4,libgtksourceview-4-0,libgtksourceview-4-common	False
gupnp	1.2.4-1	libgupnp-1.2-0	False
gupnp-av	0.12.11-2	libgupnp-av-1.0-2	False
gupnp-dlna	0.10.5-4	libgupnp-dlna-2.0-3	False
gupnp-igd	1.2.0-1	libgupnp-igd-1.0-4	False
gutenprint	5.3.3-5	libgutenprint-common,libgutenprint9,printer-driver-gutenprint	False
gvfs	1.46.2-1	gvfs,gvfs-backends,gvfs-common,gvfs-daemons,gvfs-libs	False
gzip	1.10-4+deb11u1	gzip	False
hancom-gooroom-themepack	0.3.3+han3u1	hancom-gooroom-themepack	True
hancom-toolkit	0.3.3+han3u1	hancom-toolkit	True
hancom-viewer-installer	0.2.2+han3u1	hancom-viewer-installer	True
hancomgrm-adjustments-utils	0.3.3+han3u1	hancomgrm-adjustments-utils	True
harfbuzz	2.7.4-1	gir1.2-harfbuzz-0.0,libharfbuzz-icu0,libharfbuzz0b	False
hicolor-icon-theme	0.17-2	hicolor-icon-theme	False
hostname	3.23	hostname	False
hp-ppd	0.9+nmu1	hp-ppd	False
hplip	3.21.2+dfsg1-2	hpijs-ppds,libhpmud0,printer-driver-hpcups,printer-driver-hpijs,printer-driver-postscript-hp	False
hunspell	1.7.0-3	libhunspell-1.7-0	False
hyphen	2.8.8-7	libhyphen0	False
ibus	1.5.23-2	libibus-1.0-5	False
icu	67.1-7	libicu67	False
ieee-data	20210605.1	ieee-data	False
ifupdown	0.8.36	ifupdown	False
ijs	0.35-15	libijs-0.35	False
ilmbase	2.5.4-1	libilmbase25	False
im-config	0.46-1+deb11u1	im-config	False
init-system-helpers	1.60	init,init-system-helpers	False
initramfs-tools	0.140	initramfs-tools,initramfs-tools-core	False
insserv	1.21.0-1.1	insserv	False
intel-mediasdk	21.1.0-1	libmfx1	False
intel-microcode	3.20230214.1~deb11u1	intel-microcode	False
iproute2	5.10.0-4	iproute2	False
iptables	1.8.7-1	iptables,libip4tc2,libip6tc2,libxtables12	False
iputils	3:20210202-1	iputils-ping	False
isc-dhcp	4.4.1-2.3+deb11u2	isc-dhcp-client,isc-dhcp-common	False
isl	0.23-1	libisl23	False
iso-codes	4.6.0-1	iso-codes	False
isoquery	3.2.4-1+deb11u1	isoquery	False
iucode-tool	2.3.1-1	iucode-tool	False
jackd2	1.9.17~dfsg-1	libjack-jackd2-0	False
jansson	2.13.1-1.1	libjansson4	False
jbig2dec	0.19-2	libjbig2dec0	False
jbigkit	2.1-3.1	libjbig0	False
json-c	0.15-2	libjson-c5	False
json-glib	1.6.2-1	libjson-glib-1.0-0,libjson-glib-1.0-common	False
kbd	2.3.0-3	kbd	False
keybinder-3.0	0.3.2-1.1	gir1.2-keybinder-3.0,libkeybinder-3.0-0	False
keyutils	1.6.1-2	keyutils,libkeyutils1	False
klibc	2.0.8-6.1	klibc-utils,libklibc	False
kmod	28-1	kmod,libkmod2	False
krb5	1.18.3-6+deb11u3	libgssapi-krb5-2,libk5crypto3,libkrb5-3,libkrb5support0	False
lame	3.100-3	libmp3lame0	False
lapack	3.9.0-3	libblas3,liblapack3	False
lcms2	2.12~rc1-2	liblcms2-2,liblcms2-utils	False
ldb	2:2.2.3-2~deb11u2	libldb2,python3-ldb	False
less	551-2	less	False
libarchive	3.4.3-2+deb11u1	libarchive13	False
libass	1:0.15.0-2	libass9	False
libassuan	2.5.3-7.1	libassuan0	False
libasyncns	0.8-6	libasyncns0	False
libatasmart	0.19-5	libatasmart4	False
libavc1394	0.5.4-5	libavc1394-0	False
libayatana-appindicator	0.5.5-2+deb11u2	libayatana-appindicator3-1	False
libayatana-indicator	0.8.4-1+deb11u2	ayatana-indicator-common,libayatana-indicator3-7	False
libb64	1.2-5	libb64-0d	False
libblockdev	2.25-2	libblockdev-crypto2,libblockdev-fs2,libblockdev-loop2,libblockdev-mdraid2,libblockdev-part-err2,libblockdev-part2,libblockdev-swap2,libblockdev-utils2,libblockdev2	False
libbluray	1:1.2.1-4+deb11u2	libbluray2	False
libbpf	0.3-2	libbpf0	False
libbs2b	3.1.0+dfsg-2.2	libbs2b0	False
libbsd	0.11.3-1	libbsd0	False
libbytesize	2.5-1	libbytesize-common,libbytesize1	False
libcaca	0.99.beta19-2.2	libcaca0	False
libcairo-gobject-perl	1.005-2	libcairo-gobject-perl	False
libcairo-perl	1.109-1	libcairo-perl	False
libcanberra	0.30-7	gnome-session-canberra,libcanberra-gtk-module,libcanberra-gtk0,libcanberra-gtk3-0,libcanberra-gtk3-module,libcanberra-pulse,libcanberra0	False
libcap-ng	0.7.9-2.2	libcap-ng0	False
libcap2	1:2.44-1	libcap2,libcap2-bin	False
libcdio	2.1.0-2	libcdio19	False
libcdio-paranoia	10.2+2.0.0-1	libcdio-cdda2,libcdio-paranoia2	False
libcue	2.2.1-3	libcue2	False
libdatrie	0.2.13-1	libdatrie1	False
libdbusmenu	18.10.20180917~bzr492+repack1-2	libdbusmenu-glib4,libdbusmenu-gtk3-4	False
libdc1394	2.2.6-3	libdc1394-25	False
libdca	0.0.7-2	libdca0	False
libde265	1.0.11-0+deb11u1	libde265-0	False
libdeflate	1.7-1	libdeflate0	False
libdrm	2.4.104-1	libdrm-amdgpu1,libdrm-common,libdrm-intel1,libdrm-nouveau2,libdrm-radeon1,libdrm2	False
libdv	1.0.0-13	libdv4	False
libdvdnav	6.1.0-1	libdvdnav4	False
