package	amd64_version	amd64_architecture	source	source_version	arm64_package	arm64_version	status	reason	selected
libcap2	1:2.44-1	amd64	libcap2	1:2.44-1	libcap2	1:2.44-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:7c5729a1cfd14876685217c5f0545301e7ff1b839262fb487d6a778e8cd8c05a"", ""architecture"": ""arm64"", ""download_filename"": ""libcap2_1%3a2.44-1_arm64.deb"", ""filename"": ""pool/main/libc/libcap2/libcap2_2.44-1_arm64.deb"", ""package"": ""libcap2"", ""sha256"": ""7c5729a1cfd14876685217c5f0545301e7ff1b839262fb487d6a778e8cd8c05a"", ""size"": 23164, ""source"": ""libcap2"", ""source_version"": ""1:2.44-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcap2/libcap2_2.44-1_arm64.deb"", ""version"": ""1:2.44-1""}"
libcap2-bin	1:2.44-1	amd64	libcap2	1:2.44-1	libcap2-bin	1:2.44-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:37915f4cc73cfaef7862043f2bdad062d1b1639df04c511665f1f9321c84d0db"", ""architecture"": ""arm64"", ""download_filename"": ""libcap2-bin_1%3a2.44-1_arm64.deb"", ""filename"": ""pool/main/libc/libcap2/libcap2-bin_2.44-1_arm64.deb"", ""package"": ""libcap2-bin"", ""sha256"": ""37915f4cc73cfaef7862043f2bdad062d1b1639df04c511665f1f9321c84d0db"", ""size"": 31964, ""source"": ""libcap2"", ""source_version"": ""1:2.44-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcap2/libcap2-bin_2.44-1_arm64.deb"", ""version"": ""1:2.44-1""}"
libcdio-cdda2	10.2+2.0.0-1+b2	amd64	libcdio-paranoia	10.2+2.0.0-1	libcdio-cdda2	10.2+2.0.0-1+b2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:ac36b0852b8f24adf7be6f5403ebafdc0d460016e5e05311452bd0f41c7c4f8a"", ""architecture"": ""arm64"", ""download_filename"": ""libcdio-cdda2_10.2+2.0.0-1+b2_arm64.deb"", ""filename"": ""pool/main/libc/libcdio-paranoia/libcdio-cdda2_10.2+2.0.0-1+b2_arm64.deb"", ""package"": ""libcdio-cdda2"", ""sha256"": ""ac36b0852b8f24adf7be6f5403ebafdc0d460016e5e05311452bd0f41c7c4f8a"", ""size"": 20224, ""source"": ""libcdio-paranoia"", ""source_version"": ""10.2+2.0.0-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcdio-paranoia/libcdio-cdda2_10.2%2b2.0.0-1%2bb2_arm64.deb"", ""version"": ""10.2+2.0.0-1+b2""}"
libcdio-paranoia2	10.2+2.0.0-1+b2	amd64	libcdio-paranoia	10.2+2.0.0-1	libcdio-paranoia2	10.2+2.0.0-1+b2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:8a6b4c2df7cef08c3db103bbd94ba45d47ce388296384fa679f6d07d246d054a"", ""architecture"": ""arm64"", ""download_filename"": ""libcdio-paranoia2_10.2+2.0.0-1+b2_arm64.deb"", ""filename"": ""pool/main/libc/libcdio-paranoia/libcdio-paranoia2_10.2+2.0.0-1+b2_arm64.deb"", ""package"": ""libcdio-paranoia2"", ""sha256"": ""8a6b4c2df7cef08c3db103bbd94ba45d47ce388296384fa679f6d07d246d054a"", ""size"": 19424, ""source"": ""libcdio-paranoia"", ""source_version"": ""10.2+2.0.0-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcdio-paranoia/libcdio-paranoia2_10.2%2b2.0.0-1%2bb2_arm64.deb"", ""version"": ""10.2+2.0.0-1+b2""}"
libcdio19	2.1.0-2	amd64	libcdio	2.1.0-2	libcdio19	2.1.0-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:97b69a7b22d2b924388665d3227a64bc99936b2ad1168683b2cbefa142861af8"", ""architecture"": ""arm64"", ""download_filename"": ""libcdio19_2.1.0-2_arm64.deb"", ""filename"": ""pool/main/libc/libcdio/libcdio19_2.1.0-2_arm64.deb"", ""package"": ""libcdio19"", ""sha256"": ""97b69a7b22d2b924388665d3227a64bc99936b2ad1168683b2cbefa142861af8"", ""size"": 202164, ""source"": ""libcdio"", ""source_version"": ""2.1.0-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcdio/libcdio19_2.1.0-2_arm64.deb"", ""version"": ""2.1.0-2""}"
libcdparanoia0	3.10.2+debian-13.1	amd64	cdparanoia	3.10.2+debian-13.1	libcdparanoia0	3.10.2+debian-13.1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:9c3886d3bbea3311fdd7051b9f2fbee54f4f88dba19c1da0cf2c9ae22679f048"", ""architecture"": ""arm64"", ""download_filename"": ""libcdparanoia0_3.10.2+debian-13.1_arm64.deb"", ""filename"": ""pool/main/c/cdparanoia/libcdparanoia0_3.10.2+debian-13.1_arm64.deb"", ""package"": ""libcdparanoia0"", ""sha256"": ""9c3886d3bbea3311fdd7051b9f2fbee54f4f88dba19c1da0cf2c9ae22679f048"", ""size"": 45536, ""source"": ""cdparanoia"", ""source_version"": ""3.10.2+debian-13.1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/cdparanoia/libcdparanoia0_3.10.2%2bdebian-13.1_arm64.deb"", ""version"": ""3.10.2+debian-13.1""}"
libcheese-gtk25	3.38.0-3	amd64	cheese	3.38.0-3	libcheese-gtk25	3.38.0-3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:c01f75139eaf5786341494c04ac4b67fbf384ccd87bf2a771ae3eb7bf2a9b276"", ""architecture"": ""arm64"", ""download_filename"": ""libcheese-gtk25_3.38.0-3_arm64.deb"", ""filename"": ""pool/main/c/cheese/libcheese-gtk25_3.38.0-3_arm64.deb"", ""package"": ""libcheese-gtk25"", ""sha256"": ""c01f75139eaf5786341494c04ac4b67fbf384ccd87bf2a771ae3eb7bf2a9b276"", ""size"": 34844, ""source"": ""cheese"", ""source_version"": ""3.38.0-3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/cheese/libcheese-gtk25_3.38.0-3_arm64.deb"", ""version"": ""3.38.0-3""}"
libcheese8	3.38.0-3	amd64	cheese	3.38.0-3	libcheese8	3.38.0-3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:bd998caa79dab179d3add67bc9d77bf242083e83fdbf4136acf75aa7f1a16793"", ""architecture"": ""arm64"", ""download_filename"": ""libcheese8_3.38.0-3_arm64.deb"", ""filename"": ""pool/main/c/cheese/libcheese8_3.38.0-3_arm64.deb"", ""package"": ""libcheese8"", ""sha256"": ""bd998caa79dab179d3add67bc9d77bf242083e83fdbf4136acf75aa7f1a16793"", ""size"": 39756, ""source"": ""cheese"", ""source_version"": ""3.38.0-3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/cheese/libcheese8_3.38.0-3_arm64.deb"", ""version"": ""3.38.0-3""}"
libchromaprint1	1.5.0-2	amd64	chromaprint	1.5.0-2	libchromaprint1	1.5.0-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:b2462da2f97fdd9ff14861451309ce3d86c4a579422c41dbdf858b2d1cfd237d"", ""architecture"": ""arm64"", ""download_filename"": ""libchromaprint1_1.5.0-2_arm64.deb"", ""filename"": ""pool/main/c/chromaprint/libchromaprint1_1.5.0-2_arm64.deb"", ""package"": ""libchromaprint1"", ""sha256"": ""b2462da2f97fdd9ff14861451309ce3d86c4a579422c41dbdf858b2d1cfd237d"", ""size"": 36884, ""source"": ""chromaprint"", ""source_version"": ""1.5.0-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/chromaprint/libchromaprint1_1.5.0-2_arm64.deb"", ""version"": ""1.5.0-2""}"
libclutter-1.0-0	1.26.4+dfsg-2	amd64	clutter-1.0	1.26.4+dfsg-2	libclutter-1.0-0	1.26.4+dfsg-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:899eadfb895cdebcc80e91f06d7052dc0de135b2d353075bfcf62bb7371d5dde"", ""architecture"": ""arm64"", ""download_filename"": ""libclutter-1.0-0_1.26.4+dfsg-2_arm64.deb"", ""filename"": ""pool/main/c/clutter-1.0/libclutter-1.0-0_1.26.4+dfsg-2_arm64.deb"", ""package"": ""libclutter-1.0-0"", ""sha256"": ""899eadfb895cdebcc80e91f06d7052dc0de135b2d353075bfcf62bb7371d5dde"", ""size"": 542384, ""source"": ""clutter-1.0"", ""source_version"": ""1.26.4+dfsg-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/clutter-1.0/libclutter-1.0-0_1.26.4%2bdfsg-2_arm64.deb"", ""version"": ""1.26.4+dfsg-2""}"
