reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
libdb5.3	5.3.28+dfsg1-0.8	exact-arm64	db5.3	5.3.28+dfsg1-0.8	libdb5.3	5.3.28+dfsg1-0.8	arm64	False
libdbus-1-3	1.12.24-0+deb11u1	exact-arm64	dbus	1.12.24-0+deb11u1	libdbus-1-3	1.12.24-0+deb11u1	arm64	False
libdbus-glib-1-2	0.110-6	exact-arm64	dbus-glib	0.110-6	libdbus-glib-1-2	0.110-6	arm64	False
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-2	exact-arm64	libdbusmenu	18.10.20180917~bzr492+repack1-2	libdbusmenu-glib4	18.10.20180917~bzr492+repack1-2	arm64	False
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-2	exact-arm64	libdbusmenu	18.10.20180917~bzr492+repack1-2	libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-2	arm64	False
libdc1394-25	2.2.6-3	exact-arm64	libdc1394	2.2.6-3	libdc1394-25	2.2.6-3	arm64	False
libdca0	0.0.7-2	exact-arm64	libdca	0.0.7-2	libdca0	0.0.7-2	arm64	False
libdconf1	0.38.0-2	exact-arm64	dconf	0.38.0-2	libdconf1	0.38.0-2	arm64	False
libde265-0	1.0.11-0+deb11u1	exact-arm64	libde265	1.0.11-0+deb11u1	libde265-0	1.0.11-0+deb11u1	arm64	False
libdebconfclient0	0.260	exact-arm64	cdebconf	0.260	libdebconfclient0	0.260	arm64	False
libdee-1.0-4	1.2.7+17.10.20170616-6+b1	exact-arm64	dee	1.2.7+17.10.20170616-6	libdee-1.0-4	1.2.7+17.10.20170616-6+b1	arm64	False
libdeflate0	1.7-1	exact-arm64	libdeflate	1.7-1	libdeflate0	1.7-1	arm64	False
libdevmapper1.02.1	2:1.02.175-2.1	exact-arm64	lvm2	2.03.11-2.1	libdevmapper1.02.1	2:1.02.175-2.1	arm64	False
libdns-export1110	1:9.11.19+dfsg-2.1	exact-arm64	bind9-libs	1:9.11.19+dfsg-2.1	libdns-export1110	1:9.11.19+dfsg-2.1	arm64	False
libdouble-conversion3	3.1.5-6.1	exact-arm64	double-conversion	3.1.5-6.1	libdouble-conversion3	3.1.5-6.1	arm64	False
libdpkg-perl	1.20.12+grm3u1	reuse-all	dpkg	1.20.12+grm3u1	libdpkg-perl	1.20.12+grm3u1	all	True
libdrm-amdgpu1	2.4.104-1	exact-arm64	libdrm	2.4.104-1	libdrm-amdgpu1	2.4.104-1	arm64	False
libdrm-common	2.4.104-1	reuse-all	libdrm	2.4.104-1	libdrm-common	2.4.104-1	all	False
libdrm-nouveau2	2.4.104-1	exact-arm64	libdrm	2.4.104-1	libdrm-nouveau2	2.4.104-1	arm64	False
libdrm-radeon1	2.4.104-1	exact-arm64	libdrm	2.4.104-1	libdrm-radeon1	2.4.104-1	arm64	False
libdrm2	2.4.104-1	exact-arm64	libdrm	2.4.104-1	libdrm2	2.4.104-1	arm64	False
libdv4	1.0.0-13	exact-arm64	libdv	1.0.0-13	libdv4	1.0.0-13	arm64	False
libdvdnav4	6.1.0-1+b1	exact-arm64	libdvdnav	6.1.0-1	libdvdnav4	6.1.0-1+b1	arm64	False
libdvdread8	6.1.1-2	exact-arm64	libdvdread	6.1.1-2	libdvdread8	6.1.1-2	arm64	False
libdw1	0.183-1	exact-arm64	elfutils	0.183-1	libdw1	0.183-1	arm64	False
libecal-2.0-1	3.38.3-1+deb11u2	exact-arm64	evolution-data-server	3.38.3-1+deb11u2	libecal-2.0-1	3.38.3-1+deb11u2	arm64	False
libecryptfs1	111-5	exact-arm64	ecryptfs-utils	111-5	libecryptfs1	111-5	arm64	False
libedataserver-1.2-25	3.38.3-1+deb11u2	exact-arm64	evolution-data-server	3.38.3-1+deb11u2	libedataserver-1.2-25	3.38.3-1+deb11u2	arm64	False
libedit2	3.1-20191231-2+b1	exact-arm64	libedit	3.1-20191231-2	libedit2	3.1-20191231-2+b1	arm64	False
libefiboot1	37-6	exact-arm64	efivar	37-6	libefiboot1	37-6	arm64	False
libefivar1	37-6	exact-arm64	efivar	37-6	libefivar1	37-6	arm64	False
libegl-mesa0	20.3.5-1	exact-arm64	mesa	20.3.5-1	libegl-mesa0	20.3.5-1	arm64	False
libegl1	1.3.2-1	exact-arm64	libglvnd	1.3.2-1	libegl1	1.3.2-1	arm64	False
libelf1	0.183-1	exact-arm64	elfutils	0.183-1	libelf1	0.183-1	arm64	False
libenchant-2-2	2.2.15-1	exact-arm64	enchant-2	2.2.15-1	libenchant-2-2	2.2.15-1	arm64	False
libepoxy0	1.5.5-1	exact-arm64	libepoxy	1.5.5-1	libepoxy0	1.5.5-1	arm64	False
libept1.6.0	1.2.1	exact-arm64	libept	1.2.1	libept1.6.0	1.2.1	arm64	False
libestr0	0.1.10-2.1+b1	exact-arm64	libestr	0.1.10-2.1	libestr0	0.1.10-2.1+b1	arm64	False
libevdev2	1.11.0+dfsg-1	exact-arm64	libevdev	1.11.0+dfsg-1	libevdev2	1.11.0+dfsg-1	arm64	False
libevent-2.1-7	2.1.12-stable-1	exact-arm64	libevent	2.1.12-stable-1	libevent-2.1-7	2.1.12-stable-1	arm64	False
libexempi8	2.5.2-1	exact-arm64	exempi	2.5.2-1	libexempi8	2.5.2-1	arm64	False
libexif12	0.6.22-3	exact-arm64	libexif	0.6.22-3	libexif12	0.6.22-3	arm64	False
libexiv2-27	0.27.3-3+deb11u2	exact-arm64	exiv2	0.27.3-3+deb11u2	libexiv2-27	0.27.3-3+deb11u2	arm64	False
libexpat1	2.2.10-2+deb11u5	exact-arm64	expat	2.2.10-2+deb11u5	libexpat1	2.2.10-2+deb11u5	arm64	False
libext2fs2	1.46.2-2	exact-arm64	e2fsprogs	1.46.2-2	libext2fs2	1.46.2-2	arm64	False
libextutils-depends-perl	0.8000-1	reuse-all	libextutils-depends-perl	0.8000-1	libextutils-depends-perl	0.8000-1	all	False
libextutils-pkgconfig-perl	1.16-1.1	reuse-all	libextutils-pkgconfig-perl	1.16-1.1	libextutils-pkgconfig-perl	1.16-1.1	all	False
libfaad2	2.10.0-1	exact-arm64	faad2	2.10.0-1	libfaad2	2.10.0-1	arm64	False
libfastjson4	0.99.9-1	exact-arm64	libfastjson	0.99.9-1	libfastjson4	0.99.9-1	arm64	False
libfdisk1	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	libfdisk1	2.36.1-8+deb11u1	arm64	False
libffi7	3.3-6	exact-arm64	libffi	3.3-6	libffi7	3.3-6	arm64	False
libfftw3-double3	3.3.8-2	exact-arm64	fftw3	3.3.8-2	libfftw3-double3	3.3.8-2	arm64	False
libfftw3-single3	3.3.8-2	exact-arm64	fftw3	3.3.8-2	libfftw3-single3	3.3.8-2	arm64	False
libflac8	1.3.3-2+deb11u1	exact-arm64	flac	1.3.3-2+deb11u1	libflac8	1.3.3-2+deb11u1	arm64	False
libflatpak0	1.10.8-0+deb11u1	exact-arm64	flatpak	1.10.8-0+deb11u1	libflatpak0	1.10.8-0+deb11u1	arm64	False
libflite1	2.2-2	exact-arm64	flite	2.2-2	libflite1	2.2-2	arm64	False
libfluidsynth2	2.1.7-1.1	exact-arm64	fluidsynth	2.1.7-1.1	libfluidsynth2	2.1.7-1.1	arm64	False
libfontconfig1	2.13.1-4.2	exact-arm64	fontconfig	2.13.1-4.2	libfontconfig1	2.13.1-4.2	arm64	False
libfontembed1	1.28.7-1+deb11u2	exact-arm64	cups-filters	1.28.7-1+deb11u2	libfontembed1	1.28.7-1+deb11u2	arm64	False
libfontenc1	1:1.1.4-1	exact-arm64	libfontenc	1:1.1.4-1	libfontenc1	1:1.1.4-1	arm64	False
libfreetype6	2.10.4+dfsg-1+deb11u1	exact-arm64	freetype	2.10.4+dfsg-1+deb11u1	libfreetype6	2.10.4+dfsg-1+deb11u1	arm64	False
libfribidi0	1.0.8-2+deb11u1	exact-arm64	fribidi	1.0.8-2+deb11u1	libfribidi0	1.0.8-2+deb11u1	arm64	False
libfuse2	2.9.9-5	exact-arm64	fuse	2.9.9-5	libfuse2	2.9.9-5	arm64	False
libgbm1	20.3.5-1	exact-arm64	mesa	20.3.5-1	libgbm1	20.3.5-1	arm64	False
libgcc-s1	10.2.1-6	exact-arm64	gcc-10	10.2.1-6	libgcc-s1	10.2.1-6	arm64	False
libgck-1-0	3.38.1-2	exact-arm64	gcr	3.38.1-2	libgck-1-0	3.38.1-2	arm64	False
libgconf-2-4	3.2.6-7	exact-arm64	gconf	3.2.6-7	libgconf-2-4	3.2.6-7	arm64	False
libgcr-base-3-1	3.38.1-2	exact-arm64	gcr	3.38.1-2	libgcr-base-3-1	3.38.1-2	arm64	False
libgcr-ui-3-1	3.38.1-2	exact-arm64	gcr	3.38.1-2	libgcr-ui-3-1	3.38.1-2	arm64	False
libgcrypt20	1.8.7-6	exact-arm64	libgcrypt20	1.8.7-6	libgcrypt20	1.8.7-6	arm64	False
libgd3	2.3.0-2	exact-arm64	libgd2	2.3.0-2	libgd3	2.3.0-2	arm64	False
libgdata-common	0.17.13-3	reuse-all	libgdata	0.17.13-3	libgdata-common	0.17.13-3	all	False
libgdata22	0.17.13-3	exact-arm64	libgdata	0.17.13-3	libgdata22	0.17.13-3	arm64	False
libgdbm-compat4	1.19-2	exact-arm64	gdbm	1.19-2	libgdbm-compat4	1.19-2	arm64	False
libgdbm6	1.19-2	exact-arm64	gdbm	1.19-2	libgdbm6	1.19-2	arm64	False
libgdk-pixbuf-2.0-0	2.42.2+dfsg-1+deb11u1	exact-arm64	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	libgdk-pixbuf-2.0-0	2.42.2+dfsg-1+deb11u1	arm64	False
libgdk-pixbuf-xlib-2.0-0	2.40.2-2	exact-arm64	gdk-pixbuf-xlib	2.40.2-2	libgdk-pixbuf-xlib-2.0-0	2.40.2-2	arm64	False
libgdk-pixbuf2.0-0	2.40.2-2	exact-arm64	gdk-pixbuf-xlib	2.40.2-2	libgdk-pixbuf2.0-0	2.40.2-2	arm64	False
libgdk-pixbuf2.0-bin	2.42.2+dfsg-1+deb11u1	exact-arm64	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	libgdk-pixbuf2.0-bin	2.42.2+dfsg-1+deb11u1	arm64	False
libgdk-pixbuf2.0-common	2.42.2+dfsg-1+deb11u1	reuse-all	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	libgdk-pixbuf2.0-common	2.42.2+dfsg-1+deb11u1	all	False
libgdm1	3.38.2.1-1	exact-arm64	gdm3	3.38.2.1-1	libgdm1	3.38.2.1-1	arm64	False
libgee-0.8-2	0.20.4-1	exact-arm64	libgee-0.8	0.20.4-1	libgee-0.8-2	0.20.4-1	arm64	False
libgeoclue-2-0	2.5.7-3	exact-arm64	geoclue-2.0	2.5.7-3	libgeoclue-2-0	2.5.7-3	arm64	False
libgeocode-glib0	3.26.2-2	exact-arm64	geocode-glib	3.26.2-2	libgeocode-glib0	3.26.2-2	arm64	False
libges-1.0-0	1.18.4-2	exact-arm64	gstreamer-editing-services1.0	1.18.4-2	libges-1.0-0	1.18.4-2	arm64	False
libgexiv2-2	0.12.1-1	exact-arm64	gexiv2	0.12.1-1	libgexiv2-2	0.12.1-1	arm64	False
libgfortran5	10.2.1-6	exact-arm64	gcc-10	10.2.1-6	libgfortran5	10.2.1-6	arm64	False
libgif7	5.1.9-2	exact-arm64	giflib	5.1.9-2	libgif7	5.1.9-2	arm64	False
libgirepository-1.0-1	1.66.1-1+b1	exact-arm64	gobject-introspection	1.66.1-1	libgirepository-1.0-1	1.66.1-1+b1	arm64	False
libgjs0g	1.66.2-1	exact-arm64	gjs	1.66.2-1	libgjs0g	1.66.2-1	arm64	False
libgl1	1.3.2-1	exact-arm64	libglvnd	1.3.2-1	libgl1	1.3.2-1	arm64	False
libgl1-mesa-dri	20.3.5-1	exact-arm64	mesa	20.3.5-1	libgl1-mesa-dri	20.3.5-1	arm64	False
libgladeui-2-13	3.38.2-2	exact-arm64	glade	3.38.2-2	libgladeui-2-13	3.38.2-2	arm64	False
libgladeui-common	3.38.2-2	reuse-all	glade	3.38.2-2	libgladeui-common	3.38.2-2	all	False
libglapi-mesa	20.3.5-1	exact-arm64	mesa	20.3.5-1	libglapi-mesa	20.3.5-1	arm64	False
libgles2	1.3.2-1	exact-arm64	libglvnd	1.3.2-1	libgles2	1.3.2-1	arm64	False
libglib-object-introspection-perl	0.049-1+b1	exact-arm64	libglib-object-introspection-perl	0.049-1	libglib-object-introspection-perl	0.049-1+b1	arm64	False
libglib-perl	3:1.329.3-1+b1	exact-arm64	libglib-perl	3:1.329.3-1	libglib-perl	3:1.329.3-1+b1	arm64	False
libglib2.0-0	2.66.8-1	exact-arm64	glib2.0	2.66.8-1	libglib2.0-0	2.66.8-1	arm64	False
libglib2.0-bin	2.66.8-1	exact-arm64	glib2.0	2.66.8-1	libglib2.0-bin	2.66.8-1	arm64	False
libglib2.0-data	2.66.8-1	reuse-all	glib2.0	2.66.8-1	libglib2.0-data	2.66.8-1	all	False
libglibmm-2.4-1v5	2.64.2-2	exact-arm64	glibmm2.4	2.64.2-2	libglibmm-2.4-1v5	2.64.2-2	arm64	False
libglu1-mesa	9.0.1-1	exact-arm64	libglu	9.0.1-1	libglu1-mesa	9.0.1-1	arm64	False
libglvnd0	1.3.2-1	exact-arm64	libglvnd	1.3.2-1	libglvnd0	1.3.2-1	arm64	False
libglx-mesa0	20.3.5-1	exact-arm64	mesa	20.3.5-1	libglx-mesa0	20.3.5-1	arm64	False
libglx0	1.3.2-1	exact-arm64	libglvnd	1.3.2-1	libglx0	1.3.2-1	arm64	False
libgme0	0.6.3-2	exact-arm64	game-music-emu	0.6.3-2	libgme0	0.6.3-2	arm64	False
libgmp10	2:6.2.1+dfsg-1+deb11u1	exact-arm64	gmp	2:6.2.1+dfsg-1+deb11u1	libgmp10	2:6.2.1+dfsg-1+deb11u1	arm64	False
libgnome-autoar-0-0	0.2.4-3	exact-arm64	gnome-autoar	0.2.4-3	libgnome-autoar-0-0	0.2.4-3	arm64	False
libgnome-bluetooth13	3.34.3-2+grm3u1	rebuild-arm64	gnome-bluetooth	3.34.3-2+grm3u1	libgnome-bluetooth13	3.34.3-2+grm3u1	arm64	True
libgnome-desktop-3-19	3.38.5-3	exact-arm64	gnome-desktop3	3.38.5-3	libgnome-desktop-3-19	3.38.5-3	arm64	False
libgnome-menu-3-0	3.36.0-1	exact-arm64	gnome-menus	3.36.0-1	libgnome-menu-3-0	3.36.0-1	arm64	False
libgnome-panel0	3.38.0-1+grm3u1	rebuild-arm64	gnome-panel	3.38.0-1+grm3u1	libgnome-panel0	3.38.0-1+grm3u1	arm64	True
libgnomekbd-common	3.26.1-1	reuse-all	libgnomekbd	3.26.1-1	libgnomekbd-common	3.26.1-1	all	False
libgnomekbd8	3.26.1-1	exact-arm64	libgnomekbd	3.26.1-1	libgnomekbd8	3.26.1-1	arm64	False
libgnutls30	3.7.1-5+deb11u3	exact-arm64	gnutls28	3.7.1-5+deb11u3	libgnutls30	3.7.1-5+deb11u3	arm64	False
libgoa-1.0-0b	3.38.0-3	exact-arm64	gnome-online-accounts	3.38.0-3	libgoa-1.0-0b	3.38.0-3	arm64	False
libgoa-1.0-common	3.38.0-3	reuse-all	gnome-online-accounts	3.38.0-3	libgoa-1.0-common	3.38.0-3	all	False
libgomp1	10.2.1-6	exact-arm64	gcc-10	10.2.1-6	libgomp1	10.2.1-6	arm64	False
libgpg-error0	1.38-2	exact-arm64	libgpg-error	1.38-2	libgpg-error0	1.38-2	arm64	False
libgpgme11	1.14.0-1+b2	exact-arm64	gpgme1.0	1.14.0-1	libgpgme11	1.14.0-1+b2	arm64	False
libgphoto2-6	2.5.27-1	exact-arm64	libgphoto2	2.5.27-1	libgphoto2-6	2.5.27-1	arm64	False
libgphoto2-port12	2.5.27-1	exact-arm64	libgphoto2	2.5.27-1	libgphoto2-port12	2.5.27-1	arm64	False
libgpm2	1.20.7-8	exact-arm64	gpm	1.20.7-8	libgpm2	1.20.7-8	arm64	False
libgraphite2-3	1.3.14-1	exact-arm64	graphite2	1.3.14-1	libgraphite2-3	1.3.14-1	arm64	False
libgs9	9.53.3~dfsg-7+deb11u5	exact-arm64	ghostscript	9.53.3~dfsg-7+deb11u5	libgs9	9.53.3~dfsg-7+deb11u5	arm64	False
libgs9-common	9.53.3~dfsg-7+deb11u5	reuse-all	ghostscript	9.53.3~dfsg-7+deb11u5	libgs9-common	9.53.3~dfsg-7+deb11u5	all	False
libgsf-1-114	1.14.47-1	exact-arm64	libgsf	1.14.47-1	libgsf-1-114	1.14.47-1	arm64	False
libgsf-1-common	1.14.47-1	reuse-all	libgsf	1.14.47-1	libgsf-1-common	1.14.47-1	all	False
libgsm1	1.0.18-2	exact-arm64	libgsm	1.0.18-2	libgsm1	1.0.18-2	arm64	False
libgsound0	1.0.2-5	exact-arm64	gsound	1.0.2-5	libgsound0	1.0.2-5	arm64	False
libgspell-1-2	1.8.4-1	exact-arm64	gspell	1.8.4-1	libgspell-1-2	1.8.4-1	arm64	False
libgspell-1-common	1.8.4-1	reuse-all	gspell	1.8.4-1	libgspell-1-common	1.8.4-1	all	False
libgssapi-krb5-2	1.18.3-6+deb11u3	exact-arm64	krb5	1.18.3-6+deb11u3	libgssapi-krb5-2	1.18.3-6+deb11u3	arm64	False
libgssdp-1.2-0	1.2.3-2	exact-arm64	gssdp	1.2.3-2	libgssdp-1.2-0	1.2.3-2	arm64	False
libgstreamer-gl1.0-0	1.18.4-2+deb11u1	exact-arm64	gst-plugins-base1.0	1.18.4-2+deb11u1	libgstreamer-gl1.0-0	1.18.4-2+deb11u1	arm64	False
libgstreamer-plugins-bad1.0-0	1.18.4-3+deb11u1	exact-arm64	gst-plugins-bad1.0	1.18.4-3+deb11u1	libgstreamer-plugins-bad1.0-0	1.18.4-3+deb11u1	arm64	False
libgstreamer-plugins-base1.0-0	1.18.4-2+deb11u1	exact-arm64	gst-plugins-base1.0	1.18.4-2+deb11u1	libgstreamer-plugins-base1.0-0	1.18.4-2+deb11u1	arm64	False
libgstreamer1.0-0	1.18.4-2.1	exact-arm64	gstreamer1.0	1.18.4-2.1	libgstreamer1.0-0	1.18.4-2.1	arm64	False
libgtk-3-0	3.24.24-4+grm3u2	rebuild-arm64	gtk+3.0	3.24.24-4+grm3u2	libgtk-3-0	3.24.24-4+grm3u2	arm64	True
libgtk-3-bin	3.24.24-4+grm3u2	rebuild-arm64	gtk+3.0	3.24.24-4+grm3u2	libgtk-3-bin	3.24.24-4+grm3u2	arm64	True
libgtk-3-common	3.24.24-4+grm3u2	reuse-all	gtk+3.0	3.24.24-4+grm3u2	libgtk-3-common	3.24.24-4+grm3u2	all	True
libgtk2.0-0	2.24.33-2+grm3u1	rebuild-arm64	gtk+2.0	2.24.33-2+grm3u1	libgtk2.0-0	2.24.33-2+grm3u1	arm64	True
libgtk2.0-common	2.24.33-2+grm3u1	reuse-all	gtk+2.0	2.24.33-2+grm3u1	libgtk2.0-common	2.24.33-2+grm3u1	all	True
libgtk3-perl	0.038-1	reuse-all	libgtk3-perl	0.038-1	libgtk3-perl	0.038-1	all	False
libgtkmm-3.0-1v5	3.24.2-2	exact-arm64	gtkmm3.0	3.24.2-2	libgtkmm-3.0-1v5	3.24.2-2	arm64	False
libgtksourceview-4-0	4.8.0-1	exact-arm64	gtksourceview4	4.8.0-1	libgtksourceview-4-0	4.8.0-1	arm64	False
libgtksourceview-4-common	4.8.0-1	reuse-all	gtksourceview4	4.8.0-1	libgtksourceview-4-common	4.8.0-1	all	False
libgtop-2.0-11	2.40.0-2	exact-arm64	libgtop2	2.40.0-2	libgtop-2.0-11	2.40.0-2	arm64	False
libgtop2-common	2.40.0-2	reuse-all	libgtop2	2.40.0-2	libgtop2-common	2.40.0-2	all	False
libgudev-1.0-0	234-1	exact-arm64	libgudev	234-1	libgudev-1.0-0	234-1	arm64	False
libgupnp-1.2-0	1.2.4-1	exact-arm64	gupnp	1.2.4-1	libgupnp-1.2-0	1.2.4-1	arm64	False
libgupnp-av-1.0-2	0.12.11-2	exact-arm64	gupnp-av	0.12.11-2	libgupnp-av-1.0-2	0.12.11-2	arm64	False
libgupnp-dlna-2.0-3	0.10.5-4	exact-arm64	gupnp-dlna	0.10.5-4	libgupnp-dlna-2.0-3	0.10.5-4	arm64	False
libgupnp-igd-1.0-4	1.2.0-1	exact-arm64	gupnp-igd	1.2.0-1	libgupnp-igd-1.0-4	1.2.0-1	arm64	False
libgusb2	0.3.5-1	exact-arm64	libgusb	0.3.5-1	libgusb2	0.3.5-1	arm64	False
libgutenprint-common	5.3.3-5	reuse-all	gutenprint	5.3.3-5	libgutenprint-common	5.3.3-5	all	False
libgutenprint9	5.3.3-5	exact-arm64	gutenprint	5.3.3-5	libgutenprint9	5.3.3-5	arm64	False
libgweather-3-16	3.36.1-3	exact-arm64	libgweather	3.36.1-3	libgweather-3-16	3.36.1-3	arm64	False
libgweather-common	3.36.1-3	reuse-all	libgweather	3.36.1-3	libgweather-common	3.36.1-3	all	False
libgxps2	0.3.2-1	exact-arm64	libgxps	0.3.2-1	libgxps2	0.3.2-1	arm64	False
libhandy-1-0	1.0.3-2	exact-arm64	libhandy-1	1.0.3-2	libhandy-1-0	1.0.3-2	arm64	False
libhangul-data	0.1.0+git20191003-2	reuse-all	libhangul	0.1.0+git20191003-2	libhangul-data	0.1.0+git20191003-2	all	False
libhangul1	0.1.0+git20191003-2	exact-arm64	libhangul	0.1.0+git20191003-2	libhangul1	0.1.0+git20191003-2	arm64	False
libharfbuzz-icu0	2.7.4-1	exact-arm64	harfbuzz	2.7.4-1	libharfbuzz-icu0	2.7.4-1	arm64	False
libharfbuzz0b	2.7.4-1	exact-arm64	harfbuzz	2.7.4-1	libharfbuzz0b	2.7.4-1	arm64	False
libhogweed6	3.7.3-1	exact-arm64	nettle	3.7.3-1	libhogweed6	3.7.3-1	arm64	False
libhpmud0	3.21.2+dfsg1-2	exact-arm64	hplip	3.21.2+dfsg1-2	libhpmud0	3.21.2+dfsg1-2	arm64	False
libhunspell-1.7-0	1.7.0-3	exact-arm64	hunspell	1.7.0-3	libhunspell-1.7-0	1.7.0-3	arm64	False
libhx32	3.25-2	exact-arm64	libhx	3.25-2	libhx32	3.25-2	arm64	False
libhyphen0	2.8.8-7	exact-arm64	hyphen	2.8.8-7	libhyphen0	2.8.8-7	arm64	False
libibus-1.0-5	1.5.23-2	exact-arm64	ibus	1.5.23-2	libibus-1.0-5	1.5.23-2	arm64	False
libical3	3.0.9-2	exact-arm64	libical3	3.0.9-2	libical3	3.0.9-2	arm64	False
libice6	2:1.0.10-1	exact-arm64	libice	2:1.0.10-1	libice6	2:1.0.10-1	arm64	False
libicu67	67.1-7	exact-arm64	icu	67.1-7	libicu67	67.1-7	arm64	False
libidn11	1.33-3	exact-arm64	libidn	1.33-3	libidn11	1.33-3	arm64	False
libidn2-0	2.3.0-5	exact-arm64	libidn2	2.3.0-5	libidn2-0	2.3.0-5	arm64	False
libiec61883-0	1.2.0-4	exact-arm64	libiec61883	1.2.0-4	libiec61883-0	1.2.0-4	arm64	False
libieee1284-3	0.2.11-14	exact-arm64	libieee1284	0.2.11-14	libieee1284-3	0.2.11-14	arm64	False
libijs-0.35	0.35-15	exact-arm64	ijs	0.35-15	libijs-0.35	0.35-15	arm64	False
libilmbase25	2.5.4-1	exact-arm64	ilmbase	2.5.4-1	libilmbase25	2.5.4-1	arm64	False
libimagequant0	2.12.2-1.1	exact-arm64	libimagequant	2.12.2-1.1	libimagequant0	2.12.2-1.1	arm64	False
libimobiledevice6	1.3.0-6	exact-arm64	libimobiledevice	1.3.0-6	libimobiledevice6	1.3.0-6	arm64	False
libinput-bin	1.16.4-3	exact-arm64	libinput	1.16.4-3	libinput-bin	1.16.4-3	arm64	False
libinput10	1.16.4-3	exact-arm64	libinput	1.16.4-3	libinput10	1.16.4-3	arm64	False
libinstpatch-1.0-2	1.1.6-1	exact-arm64	libinstpatch	1.1.6-1	libinstpatch-1.0-2	1.1.6-1	arm64	False
libip4tc2	1.8.7-1	exact-arm64	iptables	1.8.7-1	libip4tc2	1.8.7-1	arm64	False
libip6tc2	1.8.7-1	exact-arm64	iptables	1.8.7-1	libip6tc2	1.8.7-1	arm64	False
libiptcdata0	1.0.5-2.3	exact-arm64	libiptcdata	1.0.5-2.3	libiptcdata0	1.0.5-2.3	arm64	False
libisc-export1105	1:9.11.19+dfsg-2.1	exact-arm64	bind9-libs	1:9.11.19+dfsg-2.1	libisc-export1105	1:9.11.19+dfsg-2.1	arm64	False
libisl23	0.23-1	exact-arm64	isl	0.23-1	libisl23	0.23-1	arm64	False
libjack-jackd2-0	1.9.17~dfsg-1	exact-arm64	jackd2	1.9.17~dfsg-1	libjack-jackd2-0	1.9.17~dfsg-1	arm64	False
libjansson4	2.13.1-1.1	exact-arm64	jansson	2.13.1-1.1	libjansson4	2.13.1-1.1	arm64	False
libjavascriptcoregtk-4.0-18	2.40.3-2~deb11u2	exact-arm64	webkit2gtk	2.40.3-2~deb11u2	libjavascriptcoregtk-4.0-18	2.40.3-2~deb11u2	arm64	False
libjbig0	2.1-3.1+b2	exact-arm64	jbigkit	2.1-3.1	libjbig0	2.1-3.1+b2	arm64	False
libjbig2dec0	0.19-2	exact-arm64	jbig2dec	0.19-2	libjbig2dec0	0.19-2	arm64	False
libjpeg62-turbo	1:2.0.6-4	exact-arm64	libjpeg-turbo	1:2.0.6-4	libjpeg62-turbo	1:2.0.6-4	arm64	False
libjson-c5	0.15-2	exact-arm64	json-c	0.15-2	libjson-c5	0.15-2	arm64	False
libjson-glib-1.0-0	1.6.2-1	exact-arm64	json-glib	1.6.2-1	libjson-glib-1.0-0	1.6.2-1	arm64	False
libjson-glib-1.0-common	1.6.2-1	reuse-all	json-glib	1.6.2-1	libjson-glib-1.0-common	1.6.2-1	all	False
libjsoncpp24	1.9.4-4	exact-arm64	libjsoncpp	1.9.4-4	libjsoncpp24	1.9.4-4	arm64	False
libk5crypto3	1.18.3-6+deb11u3	exact-arm64	krb5	1.18.3-6+deb11u3	libk5crypto3	1.18.3-6+deb11u3	arm64	False
libkate1	0.4.1-11	exact-arm64	libkate	0.4.1-11	libkate1	0.4.1-11	arm64	False
libkeybinder-3.0-0	0.3.2-1.1	exact-arm64	keybinder-3.0	0.3.2-1.1	libkeybinder-3.0-0	0.3.2-1.1	arm64	False
libkeyutils1	1.6.1-2	exact-arm64	keyutils	1.6.1-2	libkeyutils1	1.6.1-2	arm64	False
libklibc	2.0.8-6.1	exact-arm64	klibc	2.0.8-6.1	libklibc	2.0.8-6.1	arm64	False
libkmod2	28-1	exact-arm64	kmod	28-1	libkmod2	28-1	arm64	False
libkrb5-3	1.18.3-6+deb11u3	exact-arm64	krb5	1.18.3-6+deb11u3	libkrb5-3	1.18.3-6+deb11u3	arm64	False
libkrb5support0	1.18.3-6+deb11u3	exact-arm64	krb5	1.18.3-6+deb11u3	libkrb5support0	1.18.3-6+deb11u3	arm64	False
libksba8	1.5.0-3+deb11u2	exact-arm64	libksba	1.5.0-3+deb11u2	libksba8	1.5.0-3+deb11u2	arm64	False
liblapack3	3.9.0-3	exact-arm64	lapack	3.9.0-3	liblapack3	3.9.0-3	arm64	False
liblcms2-2	2.12~rc1-2	exact-arm64	lcms2	2.12~rc1-2	liblcms2-2	2.12~rc1-2	arm64	False
liblcms2-utils	2.12~rc1-2	exact-arm64	lcms2	2.12~rc1-2	liblcms2-utils	2.12~rc1-2	arm64	False
libldap-2.4-2	2.4.57+dfsg-3+deb11u1	exact-arm64	openldap	2.4.57+dfsg-3+deb11u1	libldap-2.4-2	2.4.57+dfsg-3+deb11u1	arm64	False
