reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
firmware-sof-signed	1.7-1	reuse-all	firmware-sof	1.7-1	firmware-sof-signed	1.7-1	all	False
firmware-ti-connectivity	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-ti-connectivity	20210315-3	all	False
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	flat-remix-gtk-theme	0.3.0+grm3u1	flat-remix-gtk-theme	0.3.0+grm3u1	all	True
flatpak	1.10.8-0+deb11u1	exact-arm64	flatpak	1.10.8-0+deb11u1	flatpak	1.10.8-0+deb11u1	arm64	False
fontconfig	2.13.1-4.2	exact-arm64	fontconfig	2.13.1-4.2	fontconfig	2.13.1-4.2	arm64	False
fontconfig-config	2.13.1-4.2	reuse-all	fontconfig	2.13.1-4.2	fontconfig-config	2.13.1-4.2	all	False
fonts-dejavu-core	2.37-2	reuse-all	fonts-dejavu	2.37-2	fonts-dejavu-core	2.37-2	all	False
fonts-nanum	20200506-1	reuse-all	fonts-nanum	20200506-1	fonts-nanum	20200506-1	all	False
fonts-nanum-extra	20200506-1	reuse-all	fonts-nanum	20200506-1	fonts-nanum-extra	20200506-1	all	False
fonts-naver-d2coding	1.3.2-2	reuse-all	fonts-naver-d2coding	1.3.2-2	fonts-naver-d2coding	1.3.2-2	all	False
fonts-noto-cjk	1:20201206-cjk+repack1-1	reuse-all	fonts-noto-cjk	1:20201206-cjk+repack1-1	fonts-noto-cjk	1:20201206-cjk+repack1-1	all	False
fonts-quicksand	0.2016-2.1	reuse-all	fonts-quicksand	0.2016-2.1	fonts-quicksand	0.2016-2.1	all	False
fonts-urw-base35	20200910-1	reuse-all	fonts-urw-base35	20200910-1	fonts-urw-base35	20200910-1	all	False
foomatic-db-compressed-ppds	20200820-1	reuse-all	foomatic-db	20200820-1	foomatic-db-compressed-ppds	20200820-1	all	False
fsarchiver	0.8.6-1	exact-arm64	fsarchiver	0.8.6-1	fsarchiver	0.8.6-1	arm64	False
fuse	2.9.9-5	exact-arm64	fuse	2.9.9-5	fuse	2.9.9-5	arm64	False
gcc-10-base	10.2.1-6	exact-arm64	gcc-10	10.2.1-6	gcc-10-base	10.2.1-6	arm64	False
gcc-9-base	9.3.0-22	exact-arm64	gcc-9	9.3.0-22	gcc-9-base	9.3.0-22	arm64	False
gconf-service	3.2.6-7	exact-arm64	gconf	3.2.6-7	gconf-service	3.2.6-7	arm64	False
gconf2	3.2.6-7	exact-arm64	gconf	3.2.6-7	gconf2	3.2.6-7	arm64	False
gconf2-common	3.2.6-7	reuse-all	gconf	3.2.6-7	gconf2-common	3.2.6-7	all	False
gcr	3.38.1-2	exact-arm64	gcr	3.38.1-2	gcr	3.38.1-2	arm64	False
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	gdebi	0.9.5.7+nmu5-1+grm3u2	gdebi	0.9.5.7+nmu5-1+grm3u2	all	True
gdebi-core	0.9.5.7+nmu5-1+grm3u2	reuse-all	gdebi	0.9.5.7+nmu5-1+grm3u2	gdebi-core	0.9.5.7+nmu5-1+grm3u2	all	True
